utc,station_id,station_name,precip1h_mm,precip3h_mm,precip24h_mm,wind_m_s,wind_dir_deg,temp_C,humidity_pct
2026-09-18T01:20:00Z,33472,宮古,0.0,0.0,0.0,3.9,1.0,19.9,76.0
2026-09-18T01:20:00Z,34392,仙台,0.0,0.0,0.0,3.7,16.0,21.2,72.0
2026-09-18T01:20:00Z,40201,水戸,0.0,0.0,0.0,5.9,2.0,23.2,73.0
2026-09-18T01:20:00Z,44132,東京,0.0,0.0,0.0,3.7,1.0,23.4,68.0
2026-09-18T01:20:00Z,44172,大島,0.0,0.0,0.0,9.0,1.0,22.6,73.0
2026-09-18T01:20:00Z,44226,三宅島,0.0,0.0,0.0,12.7,2.0,23.6,82.0
2026-09-18T01:20:00Z,44263,八丈島,0.0,0.0,26.5,11.5,2.0,24.9,100.0
2026-09-18T01:20:00Z,45148,銚子,0.0,0.0,0.0,8.1,16.0,21.8,91.0
2026-09-18T01:20:00Z,45212,千葉,0.0,0.0,0.0,5.6,1.0,23.0,73.0
2026-09-18T01:20:00Z,46106,横浜,0.0,0.0,0.0,4.8,16.0,23.2,65.0
2026-09-18T01:20:00Z,49142,甲府,0.0,0.0,0.0,2.6,5.0,25.8,55.0
2026-09-18T01:20:00Z,50331,静岡,0.0,0.0,0.0,3.5,4.0,27.3,56.0
2026-09-18T01:20:00Z,62078,大阪,0.0,0.0,0.0,3.2,3.0,28.2,63.0
2026-09-18T01:20:00Z,74182,高知,0.0,0.0,0.0,1.7,11.0,26.9,74.0
2026-09-18T02:20:00Z,33472,宮古,0.0,0.0,0.0,3.2,2.0,19.4,78.0
2026-09-18T02:20:00Z,34392,仙台,0.0,0.0,0.0,3.6,1.0,21.7,70.0
2026-09-18T02:20:00Z,40201,水戸,0.0,0.0,0.0,7.0,2.0,23.2,73.0
2026-09-18T02:20:00Z,44132,東京,0.0,0.0,0.0,2.7,1.0,23.4,70.0
2026-09-18T02:20:00Z,44172,大島,0.0,0.0,0.0,7.8,1.0,23.1,73.0
2026-09-18T02:20:00Z,44226,三宅島,0.0,0.0,0.0,15.0,2.0,23.6,81.0
2026-09-18T02:20:00Z,44263,八丈島,0.5,0.5,27.0,11.8,2.0,24.6,100.0
2026-09-18T02:20:00Z,45148,銚子,0.0,0.0,0.0,8.3,16.0,21.6,93.0
2026-09-18T02:20:00Z,45212,千葉,0.0,0.0,0.0,5.2,1.0,22.6,79.0
2026-09-18T02:20:00Z,46106,横浜,0.0,0.0,0.0,4.6,1.0,23.9,65.0
2026-09-18T02:20:00Z,49142,甲府,0.0,0.0,0.0,1.9,8.0,27.1,54.0
2026-09-18T02:20:00Z,50331,静岡,0.0,0.0,0.0,3.9,4.0,28.5,55.0
2026-09-18T02:20:00Z,62078,大阪,0.0,0.0,0.0,3.5,3.0,28.0,61.0
2026-09-18T02:20:00Z,74182,高知,0.0,0.0,0.0,2.0,9.0,27.7,71.0
2026-09-18T03:20:00Z,33472,宮古,0.0,0.0,0.0,4.0,1.0,19.5,78.0
2026-09-18T03:20:00Z,34392,仙台,0.0,0.0,0.0,4.9,3.0,23.6,55.0
2026-09-18T03:20:00Z,40201,水戸,0.0,0.0,0.0,6.6,2.0,24.0,70.0
2026-09-18T03:20:00Z,44132,東京,0.0,0.0,0.0,3.1,1.0,23.6,68.0
2026-09-18T03:20:00Z,44172,大島,0.0,0.0,0.0,7.9,1.0,23.1,73.0
2026-09-18T03:20:00Z,44226,三宅島,0.0,0.0,0.0,14.9,2.0,23.7,80.0
2026-09-18T03:20:00Z,44263,八丈島,0.0,0.5,27.0,10.6,2.0,25.3,100.0
2026-09-18T03:20:00Z,45148,銚子,0.0,0.0,0.0,8.0,1.0,21.9,90.0
2026-09-18T03:20:00Z,45212,千葉,0.0,0.0,0.0,4.5,1.0,23.5,78.0
2026-09-18T03:20:00Z,46106,横浜,0.0,0.0,0.0,5.9,16.0,23.9,66.0
2026-09-18T03:20:00Z,49142,甲府,0.0,0.0,0.0,2.3,6.0,27.1,50.0
2026-09-18T03:20:00Z,50331,静岡,0.0,0.0,0.0,4.4,4.0,28.3,53.0
2026-09-18T03:20:00Z,62078,大阪,0.0,0.0,0.0,3.1,2.0,28.6,60.0
2026-09-18T03:20:00Z,74182,高知,0.0,0.0,0.0,1.5,8.0,27.8,68.0
2026-09-18T04:20:00Z,33472,宮古,0.0,0.0,0.0,2.7,15.0,18.6,85.0
2026-09-18T04:20:00Z,34392,仙台,0.0,0.0,0.0,3.5,3.0,24.2,58.0
2026-09-18T04:20:00Z,40201,水戸,0.0,0.0,0.0,6.1,2.0,24.6,67.0
2026-09-18T04:20:00Z,44132,東京,0.0,0.0,0.0,3.8,1.0,25.0,68.0
2026-09-18T04:20:00Z,44172,大島,0.0,0.0,0.0,8.9,1.0,23.0,75.0
2026-09-18T04:20:00Z,44226,三宅島,0.0,0.0,0.0,15.2,2.0,23.8,81.0
2026-09-18T04:20:00Z,44263,八丈島,0.0,0.5,27.0,10.7,2.0,25.3,100.0
2026-09-18T04:20:00Z,45148,銚子,0.0,0.0,0.0,8.4,16.0,21.5,90.0
2026-09-18T04:20:00Z,45212,千葉,0.0,0.0,0.0,3.8,1.0,23.9,73.0
2026-09-18T04:20:00Z,46106,横浜,0.0,0.0,0.0,4.6,16.0,24.4,65.0
2026-09-18T04:20:00Z,49142,甲府,0.0,0.0,0.0,3.4,4.0,27.9,48.0
2026-09-18T04:20:00Z,50331,静岡,0.0,0.0,0.0,3.6,4.0,28.3,53.0
2026-09-18T04:20:00Z,62078,大阪,0.0,0.0,0.0,2.3,1.0,28.9,57.0
2026-09-18T04:20:00Z,74182,高知,0.0,0.0,0.0,2.2,10.0,27.7,68.0
2026-09-18T05:20:00Z,33472,宮古,0.0,0.0,0.0,2.1,15.0,19.4,81.0
2026-09-18T05:20:00Z,34392,仙台,0.0,0.0,0.0,4.0,3.0,23.2,61.0
2026-09-18T05:20:00Z,40201,水戸,0.0,0.0,0.0,5.6,2.0,23.6,71.0
2026-09-18T05:20:00Z,44132,東京,0.0,0.0,0.0,3.1,16.0,24.6,67.0
2026-09-18T05:20:00Z,44172,大島,0.0,0.0,0.0,9.7,1.0,23.1,77.0
2026-09-18T05:20:00Z,44226,三宅島,0.0,0.0,0.0,14.1,2.0,23.9,82.0
2026-09-18T05:20:00Z,44263,八丈島,0.0,0.0,27.0,10.0,2.0,25.4,100.0
2026-09-18T05:20:00Z,45148,銚子,0.0,0.0,0.0,8.8,1.0,21.7,91.0
2026-09-18T05:20:00Z,45212,千葉,0.0,0.0,0.0,4.8,1.0,24.7,69.0
2026-09-18T05:20:00Z,46106,横浜,0.0,0.0,0.0,3.5,16.0,24.6,65.0
2026-09-18T05:20:00Z,49142,甲府,0.0,0.0,0.0,4.8,5.0,27.9,49.0
2026-09-18T05:20:00Z,50331,静岡,0.0,0.0,0.0,4.4,3.0,28.6,50.0
2026-09-18T05:20:00Z,62078,大阪,0.0,0.0,0.0,1.9,2.0,29.2,58.0
2026-09-18T05:20:00Z,74182,高知,0.0,0.0,0.0,1.6,10.0,28.0,67.0
2026-09-18T06:20:00Z,33472,宮古,0.0,0.0,0.0,4.5,1.0,19.6,77.0
2026-09-18T06:20:00Z,34392,仙台,0.0,0.0,0.0,2.7,4.0,22.9,64.0
2026-09-18T06:20:00Z,40201,水戸,0.0,0.0,0.0,5.6,2.0,23.3,74.0
2026-09-18T06:20:00Z,44132,東京,0.0,0.0,0.0,4.0,1.0,24.4,65.0
2026-09-18T06:20:00Z,44172,大島,0.0,0.0,0.0,9.2,1.0,23.3,75.0
2026-09-18T06:20:00Z,44226,三宅島,0.0,0.0,0.0,15.6,2.0,23.7,83.0
2026-09-18T06:20:00Z,44263,八丈島,0.0,0.0,27.0,9.4,2.0,25.4,100.0
2026-09-18T06:20:00Z,45148,銚子,0.0,0.0,0.0,8.0,1.0,21.5,90.0
2026-09-18T06:20:00Z,45212,千葉,0.0,0.0,0.0,6.5,1.0,23.7,72.0
