eval,round,move,cost
2,0,baseline,1.067783
3,1,S_scale+,1.013490
4,1,b_scale+,1.010146
5,1,margin_kg+,1.040924
6,1,margin_kg-,0.971700
7,1,CL_max+,0.951952
8,1,CD0+,1.007971
9,1,CD0-,0.999135
10,1,D_prop+,0.938524
11,1,prop_pitch+,0.993066
12,1,prop_pitch-,0.883209
13,1,Bwl_scale+,0.895775
14,1,Bwl_scale-,0.888723
15,1,Lwl_scale+,0.877106
16,2,S_scale+,0.895228
17,2,S_scale-,0.874945
18,2,b_scale+,0.859662
19,2,margin_kg+,0.890475
20,2,margin_kg-,0.868217
21,2,CL_max+,0.843138
22,2,CD0+,1.232441
23,2,CD0-,1.666793
24,2,D_prop+,0.728902
25,2,prop_pitch+,0.764565
26,2,prop_pitch-,0.724781
27,2,Bwl_scale+,0.731202
28,2,Bwl_scale-,0.703991
29,2,Lwl_scale+,0.717926
30,2,Lwl_scale-,0.727702
31,3,S_scale+,0.717268
32,3,S_scale-,0.714499
33,3,b_scale+,0.707051
34,3,b_scale-,0.719168
35,3,margin_kg+,0.700967
36,3,CL_max+,0.695118
37,3,CD0+,0.830490
38,3,CD0-,0.979118
39,3,D_prop-,0.855054
40,3,prop_pitch+,1.518713
41,3,Bwl_scale+,0.684516
42,3,Lwl_scale+,0.688202
43,3,Lwl_scale-,0.717947
44,4,S_scale+,0.721191
45,4,S_scale-,0.674719
46,4,b_scale+,0.668109
47,4,margin_kg+,0.768390
48,4,margin_kg-,0.711019
49,4,CL_max-,0.683982
50,4,CD0+,1.871038
51,4,CD0-,1.603570
52,4,D_prop-,0.931864
53,4,prop_pitch+,0.728453
54,4,Bwl_scale+,0.752776
55,4,Bwl_scale-,0.665578
56,4,Lwl_scale+,0.671446
57,4,Lwl_scale-,0.704891
58,5,S_scale+,0.709298
59,5,S_scale-,0.657467
60,5,b_scale-,0.691347
61,5,margin_kg+,0.699951
62,5,margin_kg-,0.692838
63,5,CL_max-,0.673045
64,5,CD0+,2.838068
65,5,CD0-,0.796537
66,5,D_prop-,1.299104
67,5,prop_pitch+,0.712250
68,5,Bwl_scale+,0.677362
69,5,Bwl_scale-,0.647065
70,5,Lwl_scale+,0.669093
71,5,Lwl_scale-,0.678901
72,6,S_scale+,0.688628
73,6,b_scale-,0.667363
74,6,margin_kg+,0.677954
75,6,margin_kg-,0.701065
76,6,CL_max-,0.662461
77,6,CD0+,1.932650
78,6,CD0-,1.146152
79,6,D_prop-,0.876886
80,6,prop_pitch+,0.722780
81,6,Bwl_scale+,0.663126
82,6,Lwl_scale+,0.669093
83,6,Lwl_scale-,0.678901
84,7,S_scale+,0.660237
85,7,b_scale-,0.652450
86,7,margin_kg+,0.654965
87,7,margin_kg-,0.662102
88,7,CL_max-,0.654360
89,7,CD0+,0.708148
90,7,CD0-,0.693895
91,7,D_prop-,0.731986
92,7,prop_pitch+,0.708647
93,7,Bwl_scale+,0.652770
94,7,Lwl_scale+,0.653471
95,7,Lwl_scale-,0.651072
96,8,S_scale+,0.651854
97,8,b_scale-,0.647389
98,8,margin_kg+,0.647064
99,8,CL_max-,0.650654
100,8,CD0+,0.683724
101,8,CD0-,0.677883
102,8,D_prop-,0.658548
103,8,prop_pitch+,0.690948
104,8,Bwl_scale+,0.654323
105,8,Lwl_scale+,0.654219
106,8,Lwl_scale-,0.643141
107,9,S_scale+,0.652087
108,9,b_scale-,0.646365
109,9,margin_kg+,0.650492
110,9,margin_kg-,0.649607
111,9,CL_max-,0.646705
112,9,CD0+,0.674718
113,9,CD0-,0.686521
114,9,D_prop-,0.650772
115,9,prop_pitch+,0.697832
116,9,Bwl_scale+,0.649146
117,9,Lwl_scale+,0.647064
118,9,Lwl_scale-,0.645657
119,10,S_scale+,0.646837
120,10,b_scale-,0.645965
121,10,margin_kg+,0.645560
122,10,margin_kg-,0.647863
123,10,CL_max-,0.644900
124,10,CD0+,0.658091
125,10,CD0-,0.649235
126,10,D_prop-,0.647476
127,10,prop_pitch+,0.658325
128,10,Bwl_scale+,0.646610
129,10,Lwl_scale+,0.644673
130,10,Lwl_scale-,0.644536
