# t,x,z,Vx,Vz,T,L,D,R,N_water
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.287348489364041448e+01,-1.809250312480850775e+00,1.907958892199087231e+01,1.251261897711778374e+03,8.328044468097689901e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,1.287480110353235452e-02,2.999819582024155196e+01,1.287480110353235396e+01,-1.804179758447403747e+00,1.891552068708892520e+01,1.251261897711778374e+03,8.328044468097689901e+01,8.328044468097689901e+01,0.000000000000000000e+00
2.000000000000000042e-03,2.575090755403933521e-02,2.999639666257401416e+01,1.287610645050698110e+01,-1.799157667537519822e+00,1.891474366549729424e+01,1.247137060867497894e+03,8.311746912127068754e+01,8.311746912127068754e+01,0.000000000000000000e+00
3.000000000000000062e-03,3.862830862427085038e-02,2.999460247899393295e+01,1.287740107023151559e+01,-1.794183580081187390e+00,1.891396916442081277e+01,1.243051793395541381e+03,8.295664728186083892e+01,8.295664728186083892e+01,0.000000000000000000e+00
4.000000000000000083e-03,5.150699372073546528e-02,2.999281322195325927e+01,1.287868509646461490e+01,-1.789257040674488097e+00,1.891319716895161562e+01,1.239005718068495526e+03,8.279794779778849545e+01,8.279794779778849545e+01,0.000000000000000000e+00
5.000000000000000104e-03,6.438695238182166880e-02,2.999102884435511740e+01,1.287995866108620113e+01,-1.784377598141809740e+00,1.891242766416022292e+01,1.234998461234984916e+03,8.264133980898012055e+01,8.264133980898012055e+01,0.000000000000000000e+00
6.000000000000000125e-03,7.726817427594843968e-02,2.998924929954961982e+01,1.288122189412677088e+01,-1.779544805498356475e+00,1.891166063509888318e+01,1.231029652785608050e+03,8.248679295150095925e+01,8.248679295150095925e+01,0.000000000000000000e+00
7.000000000000000146e-03,9.015064919974466462e-02,2.998747454132970702e+01,1.288247492379621839e+01,-1.774758219912953461e+00,1.891089606680490576e+01,1.227098926119209409e+03,8.233427734896702077e+01,8.233427734896702077e+01,0.000000000000000000e+00
8.000000000000000167e-03,1.030343670762568359e-01,2.998570452392703700e+01,1.288371787651216849e+01,-1.770017402671148155e+00,1.891013394430381567e+01,1.223205918109487129e+03,8.218376360411295423e+01,8.218376360411295423e+01,0.000000000000000000e+00
9.000000000000001055e-03,1.159193179531846640e-01,2.998393920200789964e+01,1.288495087692783159e+01,-1.765321919138601592e+00,1.890937425261249771e+01,1.219350269071942876e+03,8.203522279051365729e+01,8.203522279051365729e+01,0.000000000000000000e+00
1.000000000000000021e-02,1.288054920011440507e-01,2.998217853066917371e+01,1.288617404795938981e+01,-1.760671338724774104e+00,1.890861697674217012e+01,1.215531622731152993e+03,8.188862644445511307e+01,8.188862644445511307e+01,0.000000000000000000e+00
1.099999999999999936e-02,1.416928795119569706e-01,2.998042246543432654e+01,1.288738751081292122e+01,-1.756065234846897471e+00,1.890786210170137238e+01,1.211749626188369120e+03,8.174394655695346046e+01,8.174394655695346046e+01,0.000000000000000000e+00
1.200000000000000025e-02,1.545814708969678319e-01,2.997867096224943140e+01,1.288859138501087287e+01,-1.751503184894238396e+00,1.890710961249877187e+01,1.208003929889437586e+03,8.160115556591796349e+01,8.160115556591796349e+01,0.000000000000000000e+00
1.300000000000000114e-02,1.674712566853859275e-01,2.997692397747923820e+01,1.288978578841808620e+01,-1.746984770192646197e+00,1.890635949414597405e+01,1.204294187593045990e+03,8.146022634845672883e+01,8.146022634845672883e+01,0.000000000000000000e+00
1.400000000000000029e-02,1.803622275226533234e-01,2.997518146790326909e+01,1.289097083726739079e+01,-1.742509575969386493e+00,1.890561173166013731e+01,1.200620056339265830e+03,8.132113221332042485e+01,8.132113221332042485e+01,0.000000000000000000e+00
1.499999999999999944e-02,1.932543741688380889e-01,2.997344339071194952e+01,1.289214664618476114e+01,-1.738077191318258663e+00,1.890486631006670493e+01,1.196981196418430727e+03,8.118384689348432914e+01,8.118384689348432914e+01,0.000000000000000000e+00
