# t,x,z,Vx,Vz,T,L,D,R,N_water
0.000000000000000000e+00,0.000000000000000000e+00,1.432393905826934710e-01,5.000000000000000000e-01,0.000000000000000000e+00,5.490512699963938985e+02,2.356498781472577075e+00,1.464911154896906265e-01,8.898703825249011601e+00,7.845320000000001528e+02
1.000000000000000021e-03,5.062430251719645270e-04,1.432398987874344831e-01,5.062430251719645113e-01,5.082047410144369332e-04,5.490512699963938985e+02,2.356498781472577075e+00,1.464911154896906265e-01,9.045194940738701561e+00,7.845320000000001528e+02
2.000000000000000042e-03,1.018729019967473757e-03,1.432408562475246672e-01,5.124859947955093809e-01,9.574600901875599326e-04,5.490449542564201693e+02,2.396214660256551721e+00,1.491773654842379337e-01,9.278686820420341874e+00,7.797769243004299824e+02
3.000000000000000062e-03,1.537457885334609113e-03,1.432422041074804253e-01,5.187288653671353611e-01,1.347859955768062647e-03,5.490385598052035903e+02,2.438477394336868720e+00,1.520084029740985943e-01,9.515587976290410310e+00,7.750268062177947286e+02
4.000000000000000083e-03,2.062429477956849184e-03,1.432438836169449281e-01,5.249715926222400242e-01,1.679509464494363365e-03,5.490320868497019546e+02,2.483365027028226368e+00,1.549857279680474931e-01,9.755916445092863043e+00,7.702824644154260341e+02
5.000000000000000104e-03,2.593643609504365025e-03,1.432458361418793291e-01,5.312141315475160663e-01,1.952524934410101564e-03,5.490255355786108566e+02,2.530955182983823715e+00,1.581111508695466628e-01,9.999690874565677845e+00,7.655447158377908181e+02
6.000000000000000125e-03,3.131100045897680997e-03,1.432480031757245864e-01,5.374564363933161948e-01,2.167033845250815154e-03,5.490189061624791975e+02,2.581325026357275565e+00,1.613867890692478879e-01,1.024693052284113648e+01,7.608143755523004756e+02
7.000000000000000146e-03,3.674798506583656487e-03,1.432503263505310043e-01,5.436984606859756042e-01,2.323174806426283288e-03,5.490121987538416306e+02,2.634551221649731101e+00,1.648150633748236005e-01,1.049765525758468776e+01,7.560922565915636824e+02
8.000000000000000167e-03,4.224738663823736015e-03,1.432527474480536356e-01,5.499401572400793858e-01,2.421097522621709023e-03,5.490054134873718112e+02,2.690709897023155772e+00,1.683986942650640417e-01,1.075188555485210529e+01,7.513791697960954252e+02
9.000000000000001055e-03,4.780920141994402482e-03,1.432552084108106860e-01,5.561814781706662103e-01,2.460962757040377567e-03,5.489985504800523586e+02,2.749876609877203837e+00,1.721406979575389185e-01,1.100964249764668068e+01,7.466759236575486511e+02
1.000000000000000021e-02,5.343342516899759163e-03,1.432576513531030049e-01,5.624223749053564037e-01,2.442942292308649538e-03,5.489916098313641442e+02,2.812126314502115587e+00,1.760443822811840475e-01,1.127094777416040472e+01,7.419833241624288576e+02
1.099999999999999936e-02,5.912005315096153721e-03,1.432600185719920816e-01,5.686627981963940925e-01,2.367218889064955263e-03,5.489845916234930883e+02,2.877533331633706837e+00,1.801133423469713779e-01,1.153582367568450984e+01,7.373021746364464661e+02
1.200000000000000025e-02,6.486908013228745787e-03,1.432622525582343265e-01,5.749026981325924268e-01,2.233986242252055526e-03,5.489774959215551462e+02,2.946171319748811968e+00,1.843514560113879985e-01,1.180429309417647232e+01,7.326332755894040929e+02
1.300000000000000114e-02,7.068050037379917938e-03,1.432642960071694727e-01,5.811420241511724427e-01,2.043448935132619569e-03,5.489703227738394844e+02,3.018113247950847899e+00,1.887628791288199215e-01,1.207637951947161170e+01,7.279774245607603689e+02
1.400000000000000029e-02,7.655430762429401258e-03,1.432660918295605157e-01,5.873807250494833543e-01,1.795822391046854923e-03,5.489630722120678001e+02,3.093431370305460337e+00,1.933520405901380246e-01,1.235210703612881744e+01,7.233354159658389335e+02
1.499999999999999944e-02,8.249049511425996656e-03,1.432675831623834439e-01,5.936187489965958353e-01,1.491332822930705728e-03,5.489557442516722858e+02,3.172197201495548846e+00,1.981236371458261480e-01,1.263150031990058508e+01,7.187080409427345558e+02
1.600000000000000033e-02,8.848905554970754039e-03,1.432687133795640666e-01,5.998560435447571892e-01,1.130217180612784695e-03,5.489483388920896232e+02,3.254481493673682557e+00,2.030826280129150452e-01,1.291458463381869315e+01,7.140960871999515120e+02
1.700000000000000122e-02,9.454998110611453205e-03,1.432694261026599691e-01,6.060925556406987491e-01,7.127230959078177793e-04,5.489408561170722578e+02,3.340354214397784460e+00,2.082342292657871630e-01,1.320138582388743487e+01,7.095003388648051441e+02
1.800000000000000211e-02,1.006732634224823987e-02,1.432696652114854863e-01,6.123282316367865130e-01,2.391088255240378293e-04,5.489332958950154762e+02,3.429884525543253293e+00,2.135839080116213318e-01,1.349193031437694401e+01,7.049215763326110391e+02
1.899999999999999953e-02,1.068588935955024424e-02,1.432693748546772783e-01,6.185630173020048028e-01,-2.903568081983676826e-04,5.489256581793013083e+02,3.523140763091532346e+00,2.191373763518717210e-01,1.378624510270997128e+01,7.003605761166897992e+02
2.000000000000000042e-02,1.131068621735983881e-02,1.432684994606619744e-01,6.247968578095949299e-01,-8.753940153013855261e-04,5.489179429086578921e+02,3.620190417701283359e+00,2.249005851317135429e-01,1.408435775393558131e+01,6.958181477711759726e+02
2.100000000000000130e-02,1.194171591498959135e-02,1.432669837509183419e-01,6.310296976297524729e-01,-1.515709743621277902e-03,5.489101500075635158e+02,3.721100093746549931e+00,2.308797163254784346e-01,1.438629639252291526e+01,6.912952853441288426e+02
2.199999999999999872e-02,1.257897739560165373e-02,1.432647727517312453e-01,6.372614806120620035e-01,-2.210999187101401597e-03,5.489022793867990231e+02,3.825935375777107073e+00,2.370811702827370637e-01,1.469208968413296823e+01,6.867928632838865042e+02
2.299999999999999961e-02,1.322246954560847218e-02,1.432618118056542544e-01,6.434921500068176980e-01,-2.960946076993126175e-03,5.488943309437817106e+02,3.934760874569402933e+00,2.435115619102929119e-01,1.500176683497581465e+01,6.823117337656383370e+02
