issue_utc,head,hours,start_jst,end_jst,continued,n_regions,max_mm,regions
2026-09-16T21:42:00Z,東京都気象解説情報（台風第２５号）,1,,,False,1,30.0,小笠原諸島 30ミリ
2026-09-16T21:42:00Z,東京都気象解説情報（台風第２５号）,24,09/18 06:00,09/19 06:00,False,1,100.0,小笠原諸島 100ミリ
2026-09-17T07:51:00Z,東京都気象解説情報（台風第２５号）,1,,,False,1,30.0,小笠原諸島 30ミリ
2026-09-17T07:51:00Z,東京都気象解説情報（台風第２５号）,24,09/17 18:00,09/18 18:00,False,1,80.0,小笠原諸島 80ミリ
2026-09-17T07:51:00Z,東京都気象解説情報（台風第２５号）,24,09/18 18:00,09/19 18:00,True,1,150.0,小笠原諸島 150ミリ
2026-09-17T08:01:00Z,全般気象解説情報（台風第２５号）,24,09/17 18:00,09/18 18:00,False,1,80.0,小笠原諸島 80ミリ
2026-09-17T08:01:00Z,全般気象解説情報（台風第２５号）,24,09/18 18:00,09/19 18:00,True,1,150.0,小笠原諸島 150ミリ
2026-09-17T19:45:00Z,全般気象解説情報（台風第２５号）,24,09/18 06:00,09/19 06:00,False,1,150.0,小笠原諸島 150ミリ
2026-09-17T19:45:00Z,全般気象解説情報（台風第２５号）,24,09/19 06:00,09/20 06:00,True,3,120.0,伊豆諸島 120ミリ; 小笠原諸島 100ミリ; 関東地方 80ミリ
2026-09-17T19:45:00Z,全般気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,True,2,200.0,伊豆諸島 200ミリ; 関東地方 200ミリ
2026-09-17T20:49:00Z,関東甲信地方気象解説情報（台風第２５号）,1,,,False,1,40.0,小笠原諸島 40ミリ
2026-09-17T20:49:00Z,関東甲信地方気象解説情報（台風第２５号）,1,,,False,3,40.0,伊豆諸島 30ミリ; 小笠原諸島 40ミリ; 関東地方南部 30ミリ
2026-09-17T20:49:00Z,関東甲信地方気象解説情報（台風第２５号）,24,09/18 06:00,09/19 06:00,False,1,150.0,小笠原諸島 150ミリ
2026-09-17T20:49:00Z,関東甲信地方気象解説情報（台風第２５号）,24,09/19 06:00,09/20 06:00,True,2,120.0,伊豆諸島 120ミリ; 小笠原諸島 100ミリ
2026-09-17T20:49:00Z,関東甲信地方気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,True,2,200.0,伊豆諸島 200ミリ; 関東地方南部 200ミリ
2026-09-17T21:29:00Z,東京都気象解説情報（台風第２５号）,1,,,False,1,40.0,小笠原諸島 40ミリ
2026-09-17T21:29:00Z,東京都気象解説情報（台風第２５号）,1,,,False,3,40.0,伊豆諸島北部 30ミリ; 伊豆諸島南部 30ミリ; 小笠原諸島 40ミリ
2026-09-17T21:29:00Z,東京都気象解説情報（台風第２５号）,24,09/18 06:00,09/19 06:00,False,1,150.0,小笠原諸島 150ミリ
2026-09-17T21:29:00Z,東京都気象解説情報（台風第２５号）,24,09/19 06:00,09/20 06:00,True,4,120.0,伊豆諸島北部 120ミリ; 伊豆諸島南部 120ミリ; 小笠原諸島 100ミリ; 東京地方 80ミリ
2026-09-17T21:29:00Z,東京都気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,True,3,200.0,伊豆諸島北部 200ミリ; 伊豆諸島南部 200ミリ; 東京地方 200ミリ
2026-09-17T21:43:00Z,千葉県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,3,200.0,北東部 200ミリ; 北西部 200ミリ; 南部 200ミリ
2026-09-18T02:29:00Z,全般気象解説情報（台風第２５号）,24,09/18 12:00,09/19 12:00,False,1,250.0,小笠原諸島 250ミリ
2026-09-18T02:29:00Z,全般気象解説情報（台風第２５号）,24,09/19 12:00,09/20 12:00,True,2,200.0,伊豆諸島 200ミリ; 関東地方 150ミリ
2026-09-18T02:29:00Z,全般気象解説情報（台風第２５号）,24,09/20 12:00,09/21 12:00,True,2,200.0,伊豆諸島 200ミリ; 関東地方 200ミリ
2026-09-18T02:47:00Z,神奈川県気象解説情報（台風第２５号）,24,09/19 12:00,09/20 12:00,False,2,100.0,東部 80ミリ; 西部 100ミリ
2026-09-18T02:47:00Z,神奈川県気象解説情報（台風第２５号）,24,09/20 12:00,09/21 12:00,True,2,150.0,東部 150ミリ; 西部 150ミリ
2026-09-18T03:00:00Z,東京都気象解説情報（台風第２５号）,1,,,False,1,40.0,小笠原諸島 40ミリ
2026-09-18T03:00:00Z,東京都気象解説情報（台風第２５号）,1,,,False,3,40.0,伊豆諸島北部 30ミリ; 伊豆諸島南部 30ミリ; 小笠原諸島 40ミリ
2026-09-18T03:00:00Z,東京都気象解説情報（台風第２５号）,24,09/18 12:00,09/19 12:00,False,1,250.0,小笠原諸島 250ミリ
2026-09-18T03:00:00Z,東京都気象解説情報（台風第２５号）,24,09/19 12:00,09/20 12:00,True,3,200.0,伊豆諸島北部 200ミリ; 伊豆諸島南部 200ミリ; 東京地方 150ミリ
2026-09-18T03:00:00Z,東京都気象解説情報（台風第２５号）,24,09/20 12:00,09/21 12:00,True,3,200.0,伊豆諸島北部 200ミリ; 伊豆諸島南部 200ミリ; 東京地方 200ミリ
2026-09-18T03:05:00Z,千葉県気象解説情報（台風第２５号）,24,09/19 12:00,09/20 12:00,False,3,150.0,北東部 150ミリ; 北西部 150ミリ; 南部 150ミリ
2026-09-18T03:05:00Z,千葉県気象解説情報（台風第２５号）,24,09/20 12:00,09/21 12:00,True,3,200.0,北東部 200ミリ; 北西部 200ミリ; 南部 200ミリ
2026-09-18T07:05:00Z,東北地方気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,False,2,200.0,東北太平洋側 200ミリ; 東北日本海側 80ミリ
2026-09-18T07:17:00Z,埼玉県気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,3,100.0,北部 100ミリ; 南部 100ミリ; 秩父地方 100ミリ
2026-09-18T07:17:00Z,埼玉県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,3,200.0,北部 200ミリ; 南部 200ミリ; 秩父地方 200ミリ
2026-09-18T07:20:00Z,東海地方気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,1,150.0,静岡県 150ミリ
2026-09-18T07:20:00Z,東海地方気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,1,300.0,静岡県 300ミリ
2026-09-18T07:32:00Z,宮城県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,False,2,150.0,東部 150ミリ; 西部 150ミリ
2026-09-18T07:32:00Z,福島県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,False,3,200.0,中通り 150ミリ; 会津 80ミリ; 浜通り 200ミリ
2026-09-18T07:36:00Z,関東甲信地方気象解説情報（台風第２５号）,1,,,False,1,40.0,小笠原諸島 40ミリ
2026-09-18T07:36:00Z,関東甲信地方気象解説情報（台風第２５号）,1,,,False,3,40.0,伊豆諸島 30ミリ; 小笠原諸島 40ミリ; 関東地方南部 30ミリ
2026-09-18T07:36:00Z,関東甲信地方気象解説情報（台風第２５号）,24,09/18 18:00,09/19 18:00,False,1,180.0,小笠原諸島 180ミリ
2026-09-18T07:36:00Z,関東甲信地方気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,True,4,200.0,伊豆諸島 200ミリ; 甲信地方 100ミリ; 関東地方北部 100ミリ; 関東地方南部 200ミリ
2026-09-18T07:36:00Z,関東甲信地方気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,4,200.0,伊豆諸島 200ミリ; 甲信地方 150ミリ; 関東地方北部 200ミリ; 関東地方南部 200ミリ
2026-09-18T07:41:00Z,群馬県気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,2,80.0,北部 60ミリ; 南部 80ミリ
2026-09-18T07:41:00Z,群馬県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,2,200.0,北部 200ミリ; 南部 200ミリ
2026-09-18T07:44:00Z,岩手県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,False,3,120.0,内陸 100ミリ; 沿岸北部 120ミリ; 沿岸南部 120ミリ
2026-09-18T07:47:00Z,長野県気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,3,80.0,中部 80ミリ; 北部 50ミリ; 南部 60ミリ
2026-09-18T07:47:00Z,長野県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,3,120.0,中部 120ミリ; 北部 100ミリ; 南部 100ミリ
2026-09-18T07:47:00Z,栃木県気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,2,80.0,北部 80ミリ; 南部 80ミリ
2026-09-18T07:47:00Z,栃木県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,2,200.0,北部 200ミリ; 南部 200ミリ
2026-09-18T07:48:00Z,全般気象解説情報（台風第２５号）,24,09/18 18:00,09/19 18:00,False,1,180.0,小笠原諸島 180ミリ
2026-09-18T07:48:00Z,全般気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,True,3,200.0,伊豆諸島 200ミリ; 東海地方 150ミリ; 関東地方 200ミリ
