hour,stamp_utc,stamp_jst,storm,gale,storm_mean_km,gale_mean_km
1.43,2026-09-16T13:25:58Z,09/16 22:25,―,北側950km/南側440km,,695.0
33.72,2026-09-17T21:43:01Z,09/18 06:43,半径95km,―,95.0,
43.73,2026-09-18T07:43:58Z,09/18 16:43,半径110km,北東側750km/南西側390km,110.0,570.0
56.5,2026-09-18T20:30:00Z,09/19 05:30,半径110km,―,110.0,
67.92,2026-09-19T07:55:01Z,09/19 16:55,半径110km,北側750km/南側390km,110.0,570.0
80.78,2026-09-19T20:46:58Z,09/20 05:46,半径110km,北東側800km/南西側440km,110.0,620.0
91.53,2026-09-20T07:31:58Z,09/20 16:31,半径130km,北東側700km/南西側440km,130.0,570.0
104.88,2026-09-20T20:52:58Z,09/21 05:52,西側185km/東側150km,北東側700km/南西側440km,167.5,570.0
105.18,2026-09-20T21:10:58Z,09/21 06:10,西側185km/東側150km,―,167.5,
107.75,2026-09-20T23:45:00Z,09/21 08:45,半径185km,東側650km/西側440km,185.0,545.0
