site,area,lead_h,stamp_jst,dist_km,track_src,official_peak_mm_h,go,breach,n_breach,wind_m_s,gust_m_s,rain_mm_h,visibility_m,lightning_risk,condition,density_kg_m3,prop_factor,extra_cd,margin,v_stall_m_s,alpha_trim_deg
三宅島,130020,0.0,09/21 08:00,232.3,公式,80.0,False,"wind,gust",2,21.2,30.3,6.9,17579.0,0.17,rain,1.1501,0.976,0.0,6.805,6.74,2.5
三宅島,130020,3.0,09/21 11:00,167.6,公式,80.0,False,"wind,gust",2,26.2,37.4,4.4,18476.0,0.11,rain,1.1502,0.983,0.0,6.855,6.74,2.49
三宅島,130020,6.0,09/21 14:00,102.5,公式,80.0,False,"wind,gust",2,33.4,47.6,2.6,19093.0,0.06,rain,1.1503,0.989,0.0,6.894,6.74,2.49
三宅島,130020,9.0,09/21 17:00,52.4,公式,80.0,False,"wind,gust",2,32.0,45.7,1.6,19447.0,0.04,rain,1.1503,0.992,0.0,6.919,6.74,2.49
三宅島,130020,12.0,09/21 20:00,121.6,公式,80.0,False,"wind,gust",2,28.0,40.0,0.9,19687.0,0.02,rain,1.1503,0.995,0.0,6.939,6.74,2.49
三宅島,130020,15.0,09/21 23:00,230.8,公式,80.0,False,"wind,gust",2,22.4,31.9,0.5,19824.0,0.01,rain,1.1503,0.997,0.0,6.951,6.74,2.49
三宅島,130020,18.0,09/22 02:00,363.4,公式,80.0,False,"wind,gust",2,19.1,27.2,0.3,19904.0,0.01,rain,1.1503,0.998,0.0,6.96,6.74,2.49
三宅島,130020,21.0,09/22 05:00,512.2,公式,80.0,False,"wind,gust",2,16.7,23.8,0.1,19954.0,0.0,rain,1.1503,0.999,0.0,6.966,6.74,2.49
三宅島,130020,24.0,09/22 08:00,670.6,公式,80.0,False,"wind,gust",2,15.2,21.7,0.1,19978.0,0.0,rain,1.1525,0.999,0.0,6.977,6.74,2.48
三宅島,130020,27.0,09/22 11:00,831.7,公式,80.0,False,"wind,gust",2,13.9,19.9,0.0,19991.0,0.0,rain,1.1558,1.0,0.0,6.99,6.73,2.46
三宅島,130020,30.0,09/22 14:00,992.2,公式,80.0,False,"wind,gust",2,12.9,18.5,0.0,19996.0,0.0,rain,1.1591,1.0,0.0,7.002,6.72,2.45
三宅島,130020,33.0,09/22 17:00,1151.9,公式,80.0,False,"wind,gust",2,12.2,17.4,0.0,19998.0,0.0,rain,1.1623,1.0,0.0,7.013,6.71,2.43
三宅島,130020,36.0,09/22 20:00,1310.6,公式,80.0,False,"wind,gust",2,11.5,16.5,0.0,19999.0,0.0,rain,1.1656,1.0,0.0,7.024,6.7,2.41
三宅島,130020,39.0,09/22 23:00,1468.2,公式,80.0,False,"wind,gust",2,11.0,15.7,0.0,20000.0,0.0,rain,1.1689,1.0,0.0,7.034,6.69,2.39
三宅島,130020,42.0,09/23 02:00,1624.7,公式,80.0,False,"wind,gust",2,10.6,15.1,0.0,20000.0,0.0,rain,1.1721,1.0,0.0,7.045,6.68,2.38
三宅島,130020,45.0,09/23 05:00,1727.1,モデル延長,80.0,True,,0,5.7,8.1,0.0,20000.0,0.0,rain,1.1737,1.0,0.0,7.05,6.68,2.37
三宅島,130020,48.0,09/23 08:00,1804.8,モデル延長,80.0,True,,0,5.4,7.8,0.0,20000.0,0.0,rain,1.1751,1.0,0.0,7.054,6.67,2.36
三宅島,130020,51.0,09/23 11:00,1884.4,モデル延長,80.0,True,,0,5.2,7.4,0.0,20000.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
三宅島,130020,54.0,09/23 14:00,1965.6,モデル延長,80.0,True,,0,5.0,7.1,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.062,6.66,2.35
三宅島,130020,57.0,09/23 17:00,2048.5,モデル延長,80.0,True,,0,4.8,6.9,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
三宅島,130020,60.0,09/23 20:00,2132.7,モデル延長,80.0,True,,0,4.6,6.6,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
三宅島,130020,63.0,09/23 23:00,2218.4,モデル延長,80.0,True,,0,4.5,6.4,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
三宅島,130020,66.0,09/24 02:00,2305.4,モデル延長,80.0,True,,0,4.3,6.2,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
三宅島,130020,69.0,09/24 05:00,2393.6,モデル延長,80.0,True,,0,4.2,6.0,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
三宅島,130020,72.0,09/24 08:00,2482.9,モデル延長,80.0,True,,0,4.0,5.8,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
仙台,040010,0.0,09/21 08:00,703.5,公式,30.0,False,"wind,gust",2,13.3,19.0,0.8,19714.0,0.02,rain,1.1503,0.995,0.0,6.941,6.74,2.49
