site,area,lead_h,stamp_jst,dist_km,go,breach,n_breach,wind_m_s,gust_m_s,rain_mm_h,visibility_m,lightning_risk,condition,density_kg_m3,prop_factor,extra_cd,margin,v_stall_m_s,alpha_trim_deg
三宅島,130020,0.0,09/21 08:00,232.3,False,"wind,gust",2,21.2,30.3,7.2,17489.0,0.18,rain,1.1501,0.975,0.0,6.8,6.74,2.5
三宅島,130020,3.0,09/21 11:00,162.4,False,"wind,gust",2,26.6,38.0,4.4,18466.0,0.11,rain,1.1508,0.983,0.0,6.857,6.74,2.49
三宅島,130020,6.0,09/21 14:00,92.4,False,"wind,gust",2,28.8,41.2,2.6,19089.0,0.07,rain,1.1518,0.989,0.0,6.899,6.74,2.49
三宅島,130020,9.0,09/21 17:00,22.8,False,"wind,gust",2,9.5,13.6,1.8,19379.0,0.04,rain,1.153,0.991,0.0,6.923,6.74,2.48
三宅島,130020,12.0,09/21 20:00,52.9,False,"wind,gust",2,19.0,27.1,1.2,19569.0,0.03,rain,1.1543,0.993,0.0,6.942,6.73,2.47
三宅島,130020,15.0,09/21 23:00,127.2,False,"wind,gust",2,29.9,42.7,0.8,19704.0,0.02,rain,1.1559,0.995,0.0,6.958,6.73,2.46
三宅島,130020,18.0,09/22 02:00,202.9,False,"wind,gust",2,25.1,35.9,0.6,19791.0,0.01,rain,1.1575,0.996,0.0,6.972,6.72,2.45
三宅島,130020,21.0,09/22 05:00,280.4,False,"wind,gust",2,22.1,31.6,0.4,19858.0,0.01,rain,1.1593,0.997,0.0,6.984,6.72,2.45
三宅島,130020,24.0,09/22 08:00,359.0,False,"wind,gust",2,20.3,29.0,0.3,19898.0,0.01,rain,1.1612,0.998,0.0,6.995,6.71,2.44
三宅島,130020,27.0,09/22 11:00,438.8,False,"wind,gust",2,18.7,26.8,0.2,19931.0,0.0,rain,1.1631,0.998,0.0,7.005,6.71,2.43
三宅島,130020,30.0,09/22 14:00,519.7,False,"wind,gust",2,17.5,25.0,0.1,19954.0,0.0,rain,1.165,0.999,0.0,7.014,6.7,2.42
三宅島,130020,33.0,09/22 17:00,601.7,False,"wind,gust",2,16.5,23.6,0.1,19969.0,0.0,rain,1.1669,0.999,0.0,7.022,6.69,2.41
