site,lead_h,stamp_jst,track_src,product_go,var_go,product_breach,var_breach,product_wind,var_wind,product_rain,var_rain,product_dist_km,var_dist_km
仙台,45.0,09/23 05:00,モデル延長,True,False,,"wind,gust",6.2,10.0,0.0,0.0,1422.7,521.7
仙台,48.0,09/23 08:00,モデル延長,True,False,,"wind,gust",5.9,9.1,0.0,0.0,1489.7,605.0
仙台,51.0,09/23 11:00,モデル延長,True,False,,"wind,gust",5.7,8.3,0.0,0.0,1559.7,689.6
仙台,54.0,09/23 14:00,モデル延長,True,False,,wind,5.4,7.7,0.0,0.0,1632.3,775.3
千葉,45.0,09/23 05:00,モデル延長,True,False,,"wind,gust",5.9,8.3,0.0,0.0,1600.4,775.8
千葉,48.0,09/23 08:00,モデル延長,True,False,,wind,5.6,7.7,0.0,0.0,1675.3,862.0
大島,45.0,09/23 05:00,モデル延長,True,False,,wind,5.7,7.8,0.0,0.0,1704.6,891.9
宮古,45.0,09/23 05:00,モデル延長,True,False,,"wind,gust",6.5,11.8,0.0,0.0,1294.7,366.1
宮古,48.0,09/23 08:00,モデル延長,True,False,,"wind,gust",6.2,10.5,0.0,0.0,1356.6,444.1
宮古,51.0,09/23 11:00,モデル延長,True,False,,"wind,gust",5.9,9.5,0.0,0.0,1422.0,525.3
宮古,54.0,09/23 14:00,モデル延長,True,False,,"wind,gust",5.7,8.7,0.0,0.0,1490.6,608.6
宮古,57.0,09/23 17:00,モデル延長,True,False,,wind,5.5,8.0,0.0,0.0,1562.2,693.4
東京,45.0,09/23 05:00,モデル延長,True,False,,wind,5.9,8.2,0.0,0.0,1624.4,789.0
東京,48.0,09/23 08:00,モデル延長,True,False,,wind,5.6,7.6,0.0,0.0,1698.6,875.1
横浜,45.0,09/23 05:00,モデル延長,True,False,,wind,5.8,8.1,0.0,0.0,1645.1,816.1
水戸,45.0,09/23 05:00,モデル延長,True,False,,"wind,gust",6.0,8.8,0.0,0.0,1533.3,689.0
水戸,48.0,09/23 08:00,モデル延長,True,False,,wind,5.7,8.1,0.0,0.0,1606.4,775.1
甲府,45.0,09/23 05:00,モデル延長,True,False,,wind,5.7,7.9,0.0,0.0,1722.7,866.2
銚子,18.0,09/22 02:00,公式,False,True,"wind,gust",,23.5,5.7,0.5,1.2,190.4,19.1
銚子,45.0,09/23 05:00,モデル延長,True,False,,"wind,gust",6.0,8.6,0.0,0.0,1532.9,721.7
銚子,48.0,09/23 08:00,モデル延長,True,False,,wind,5.7,7.9,0.0,0.0,1608.3,807.8
