lead_h,stamp_jst,track_src,go_sites,n_sites,worst_site,var_go_sites,var_n_sites
0.0,09/21 08:00,公式,0,14,大島,0,14
3.0,09/21 11:00,公式,0,14,銚子,0,14
6.0,09/21 14:00,公式,0,14,銚子,0,14
9.0,09/21 17:00,公式,0,14,銚子,0,14
12.0,09/21 20:00,公式,0,14,銚子,0,14
15.0,09/21 23:00,公式,0,14,仙台,0,14
18.0,09/22 02:00,公式,0,14,宮古,1,14
21.0,09/22 05:00,公式,0,14,宮古,0,14
24.0,09/22 08:00,公式,0,14,宮古,0,14
27.0,09/22 11:00,公式,0,14,宮古,0,14
30.0,09/22 14:00,公式,0,14,宮古,0,14
33.0,09/22 17:00,公式,0,14,仙台,0,14
36.0,09/22 20:00,公式,0,14,仙台,0,14
39.0,09/22 23:00,公式,0,14,三宅島,0,14
42.0,09/23 02:00,公式,0,14,宮古,0,14
45.0,09/23 05:00,モデル延長,14,14,三宅島,5,14
48.0,09/23 08:00,モデル延長,14,14,三宅島,8,14
51.0,09/23 11:00,モデル延長,14,14,三宅島,12,14
54.0,09/23 14:00,モデル延長,14,14,三宅島,12,14
57.0,09/23 17:00,モデル延長,14,14,三宅島,13,14
60.0,09/23 20:00,モデル延長,14,14,三宅島,14,14
63.0,09/23 23:00,モデル延長,14,14,三宅島,14,14
66.0,09/24 02:00,モデル延長,14,14,三宅島,14,14
69.0,09/24 05:00,モデル延長,14,14,三宅島,14,14
72.0,09/24 08:00,モデル延長,14,14,三宅島,14,14
