site,area,n,go_n,no_go_n,go_frac,first_go_lead_h,go_windows,min_margin,max_wind_m_s,max_gust_m_s,max_rain_mm_h,min_visibility_m,max_lightning,binding,go_frac_land,go_frac_anchor_rain,anchor_rain_scale,var_agree_frac,var_go_frac
三宅島,130020,25,10,15,0.4,45.0,['45-72h'],6.805,33.4,47.6,6.9,17579.0,0.17,"wind×15, gust×15",0.84,0.4,4.95,1.0,0.4
仙台,040010,25,10,15,0.4,45.0,['45-72h'],6.9,18.3,26.1,2.4,19177.0,0.06,"wind×15, gust×15",1.0,0.4,2.84,0.84,0.24
八丈島,130030,25,10,15,0.4,45.0,['45-72h'],6.846,32.6,46.6,4.8,18319.0,0.12,"wind×15, gust×15",0.88,0.4,7.16,1.0,0.4
千葉,120010,25,10,15,0.4,45.0,['45-72h'],6.832,24.6,35.2,5.5,18064.0,0.14,"wind×15, gust×15",1.0,0.4,3.83,0.92,0.32
大島,130020,25,10,15,0.4,45.0,['45-72h'],6.798,28.3,40.4,7.3,17450.0,0.18,"wind×15, gust×15",0.88,0.4,4.95,0.96,0.36
大阪,270000,25,10,15,0.4,45.0,['45-72h'],6.943,19.4,27.7,0.8,19737.0,0.02,"wind×15, gust×15",1.0,0.4,3.26,1.0,0.4
宮古,030020,25,10,15,0.4,45.0,['45-72h'],6.929,17.0,24.3,1.2,19574.0,0.03,"wind×15, gust×15",1.0,0.4,3.01,0.8,0.2
東京,130010,25,10,15,0.4,45.0,['45-72h'],6.842,23.1,33.0,5.0,18256.0,0.12,"wind×15, gust×15",1.0,0.4,3.38,0.92,0.32
横浜,140010,25,10,15,0.4,45.0,['45-72h'],6.827,24.0,34.3,5.8,17980.0,0.14,"wind×15, gust×15",1.0,0.4,2.03,0.96,0.36
水戸,080020,25,10,15,0.4,45.0,['45-72h'],6.855,22.6,32.3,4.4,18462.0,0.11,"wind×15, gust×15",1.0,0.4,2.71,0.92,0.32
甲府,,25,10,15,0.4,45.0,['45-72h'],6.864,22.4,32.0,3.9,18621.0,0.1,"wind×15, gust×15",1.0,0.4,3.26,0.96,0.36
銚子,120020,25,10,15,0.4,45.0,['45-72h'],6.822,27.8,39.7,6.0,17886.0,0.15,"wind×15, gust×15",0.92,0.4,3.52,0.88,0.36
静岡,220010,25,10,15,0.4,45.0,['45-72h'],6.86,25.7,36.7,4.1,18549.0,0.1,"wind×15, gust×15",0.96,0.4,2.78,1.0,0.4
高知,390010,25,10,15,0.4,45.0,['45-72h'],6.962,16.8,24.0,0.2,19918.0,0.01,"wind×15, gust×15",1.0,0.4,3.26,1.0,0.4
