stamp_utc,stamp_jst,hour,station,area,obs_mm_h,model_mm_h,err_mm_h,source,dist_km,center_pres_hPa,obs_wind_m_s,model_wind_m_s,obs_wind_from_deg,model_wind_from_deg
2026-09-18T01:20:00Z,09/18 10:20,37.33,三宅島,130020,0.0,0.47,0.47,実況,1077.1,976.9,12.7,14.5,2.0,47.6
2026-09-18T01:20:00Z,09/18 10:20,37.33,仙台,040010,0.0,0.08,0.08,実況,1477.0,976.9,3.7,13.6,16.0,59.5
2026-09-18T01:20:00Z,09/18 10:20,37.33,八丈島,130030,0.0,0.74,0.74,実況,966.1,976.9,11.5,14.9,2.0,46.2
2026-09-18T01:20:00Z,09/18 10:20,37.33,千葉,120010,0.0,0.23,0.23,実況,1210.3,976.9,5.6,14.2,1.0,53.2
2026-09-18T01:20:00Z,09/18 10:20,37.33,大島,130020,0.0,0.41,0.41,実況,1146.4,976.9,9.0,14.3,1.0,48.4
2026-09-18T01:20:00Z,09/18 10:20,37.33,大阪,270000,0.0,0.25,0.25,実況,1327.1,976.9,3.2,13.7,3.0,34.3
2026-09-18T01:20:00Z,09/18 10:20,37.33,宮古,030020,0.0,0.05,0.05,実況,1613.4,976.9,3.9,13.3,1.0,63.9
2026-09-18T01:20:00Z,09/18 10:20,37.33,東京,130010,0.0,0.24,0.24,実況,1230.4,976.9,3.7,14.1,1.0,51.9
2026-09-18T01:20:00Z,09/18 10:20,37.33,横浜,140010,0.0,0.29,0.29,実況,1207.2,976.9,4.8,14.2,16.0,51.1
2026-09-18T01:20:00Z,09/18 10:20,37.33,水戸,080020,0.0,0.17,0.17,実況,1283.2,976.9,5.9,14.0,2.0,55.8
2026-09-18T01:20:00Z,09/18 10:20,37.33,甲府,,0.0,0.3,0.3,実況,1269.8,976.9,2.6,14.0,5.0,47.3
2026-09-18T01:20:00Z,09/18 10:20,37.33,銚子,120020,0.0,0.2,0.2,実況,1205.0,976.9,8.1,14.2,16.0,56.5
2026-09-18T01:20:00Z,09/18 10:20,37.33,静岡,220010,0.0,0.37,0.37,実況,1207.1,976.9,3.5,14.1,4.0,45.1
2026-09-18T01:20:00Z,09/18 10:20,37.33,高知,390010,0.0,0.21,0.21,実況,1367.8,976.9,1.7,13.5,11.0,25.0
2026-09-18T02:20:00Z,09/18 11:20,38.33,三宅島,130020,0.0,0.49,0.49,実況,1054.3,976.5,15.0,14.6,2.0,48.9
2026-09-18T02:20:00Z,09/18 11:20,38.33,仙台,040010,0.0,0.09,0.09,実況,1460.3,976.5,3.6,13.6,1.0,60.5
2026-09-18T02:20:00Z,09/18 11:20,38.33,八丈島,130030,0.5,0.76,0.26,実況,942.7,976.5,11.8,15.0,2.0,47.6
