station,area,n,obs_max_mm_h,model_max_mm_h,obs_total_mm,model_total_mm,rmse_mm_h,bias_mm_h,csi_wet
三宅島,130020,72,25.5,9.2,208.0,191.4,4.29,-0.23,0.471
仙台,040010,72,6.0,2.4,24.0,32.8,0.78,0.12,0.231
八丈島,130030,72,25.0,6.3,144.5,168.6,4.34,0.33,0.577
千葉,120010,72,33.5,9.3,218.0,127.1,5.12,-1.26,0.469
大島,130020,72,57.0,12.8,439.5,219.9,7.94,-3.05,0.522
大阪,270000,72,0.0,3.1,0.0,89.9,1.64,1.25,0.0
宮古,030020,72,5.0,1.1,41.0,14.4,1.14,-0.37,0.196
東京,130010,72,22.0,8.7,166.0,138.8,3.71,-0.38,0.469
横浜,140010,72,21.0,10.7,167.5,167.7,4.05,0.0,0.469
水戸,080020,72,26.5,6.6,100.5,84.2,3.55,-0.23,0.421
甲府,,72,6.0,8.7,30.5,167.4,2.86,1.9,0.234
銚子,120020,72,13.5,7.8,116.0,92.8,3.73,-0.32,0.393
静岡,220010,72,4.5,9.6,27.0,203.6,3.58,2.45,0.219
高知,390010,72,0.0,2.8,0.0,52.5,1.02,0.73,0.0
