pref,area,code,point,lat,lon,issue_utc,window_jst,window_h0,window_h1,hours,official_mm,model_mm,district_max_mm,ratio,ratio_max,official_peak_mm_h,model_peak_mm_h,district_peak_mm_h,wet_frac,source,forecast_frac
千葉県,北東部,120020,銚子(AMeDAS),35.738,140.857,2026-09-20T22:22:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,300.0,95.5,103.7,0.32,0.35,70.0,8.0,9.3,1.0,予報+実況,0.92
千葉県,北西部,120010,千葉(AMeDAS),35.602,140.103,2026-09-20T22:22:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,300.0,101.3,102.3,0.34,0.34,70.0,10.1,10.7,1.0,予報+実況,0.92
千葉県,南部,120030,代表地点,34.99,139.87,2026-09-20T22:22:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,300.0,89.4,100.6,0.3,0.34,70.0,10.6,12.2,1.0,予報+実況,0.92
宮城県,東部,040010,仙台(AMeDAS),38.262,140.897,2026-09-20T20:53:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,120.0,81.2,95.8,0.68,0.8,30.0,5.0,6.3,1.0,予報+実況,0.92
宮城県,西部,040020,代表地点,38.57,140.97,2026-09-20T20:53:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,120.0,74.2,86.6,0.62,0.72,30.0,4.5,5.6,1.0,予報+実況,0.92
岩手県,内陸,030010,代表地点,39.7,141.15,2026-09-20T20:40:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,80.0,47.5,59.0,0.59,0.74,30.0,3.1,4.0,1.0,予報+実況,0.92
岩手県,沿岸北部,030020,宮古(AMeDAS),39.647,141.965,2026-09-20T20:40:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,80.0,55.6,65.2,0.7,0.81,30.0,4.2,5.1,1.0,予報+実況,0.92
岩手県,沿岸南部,030030,代表地点,39.08,141.72,2026-09-20T20:40:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,60.0,72.9,82.1,1.21,1.37,30.0,5.1,6.1,1.0,予報+実況,0.92
東京都,伊豆諸島北部,130020,三宅島(AMeDAS),34.123,139.52,2026-09-20T21:25:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,300.0,55.2,66.2,0.18,0.22,80.0,6.4,7.7,1.0,予報+実況,0.92
東京都,伊豆諸島南部,130030,八丈島(AMeDAS),33.122,139.778,2026-09-20T21:25:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,300.0,36.1,39.7,0.12,0.13,80.0,4.2,4.6,1.0,予報+実況,0.92
東京都,東京地方,130010,東京(AMeDAS),35.692,139.75,2026-09-20T21:25:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,250.0,100.9,102.8,0.4,0.41,70.0,9.1,10.3,1.0,予報+実況,0.92
神奈川県,東部,140010,横浜(AMeDAS),35.438,139.652,2026-09-20T20:59:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,150.0,102.8,102.8,0.69,0.69,50.0,10.0,11.8,1.0,予報+実況,0.92
神奈川県,西部,140020,代表地点,35.25,139.15,2026-09-20T20:59:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,200.0,95.2,102.2,0.48,0.51,60.0,10.3,11.5,1.0,予報+実況,0.92
茨城県,北部,080010,代表地点,36.7,140.72,2026-09-20T21:28:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,200.0,122.4,127.1,0.61,0.64,60.0,9.3,10.3,1.0,予報+実況,0.92
茨城県,南部,080020,水戸(AMeDAS),36.38,140.467,2026-09-20T21:28:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,200.0,111.6,122.4,0.56,0.61,60.0,9.7,10.0,1.0,予報+実況,0.92
静岡県,中部,220010,静岡(AMeDAS),34.975,138.403,2026-09-20T21:13:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,150.0,59.3,78.7,0.4,0.52,50.0,6.3,8.1,1.0,予報+実況,0.92
静岡県,伊豆,220020,代表地点,35.12,138.92,2026-09-20T21:13:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,350.0,84.2,98.8,0.24,0.28,80.0,9.1,10.6,1.0,予報+実況,0.92
静岡県,東部,220030,代表地点,35.16,138.67,2026-09-20T21:13:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,200.0,75.4,92.0,0.38,0.46,60.0,7.9,9.5,1.0,予報+実況,0.92
静岡県,西部,220040,代表地点,34.71,137.73,2026-09-20T21:13:00Z,09/21 06:00〜09/22 06:00,105.0,129.0,24,120.0,33.8,46.5,0.28,0.39,50.0,3.8,5.0,1.0,予報+実況,0.92
