window_utc,window_jst,hours,pref,area,code,point,pop_pct,model_mm,district_max_mm,model_peak_mm_h,district_peak_mm_h,wet_frac,source,official_rain,model_rain,agree
2026-09-20T21:00:00Z,09/21 06:00,6.0,千葉県,北西部,120010,千葉(AMeDAS),100.0,52.3,56.3,10.1,10.7,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,千葉県,北西部,120010,千葉(AMeDAS),100.0,30.0,34.9,6.9,7.9,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,千葉県,北西部,120010,千葉(AMeDAS),100.0,13.4,15.5,3.3,3.8,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,千葉県,北西部,120010,千葉(AMeDAS),30.0,5.6,6.5,1.4,1.6,1.0,予報,False,True,False
2026-09-21T21:00:00Z,09/22 06:00,6.0,千葉県,北西部,120010,千葉(AMeDAS),10.0,2.6,3.0,0.6,0.7,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,千葉県,北西部,120010,千葉(AMeDAS),10.0,1.2,1.3,0.3,0.3,1.0,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,千葉県,北西部,120010,千葉(AMeDAS),10.0,0.5,0.6,0.1,0.1,0.29,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,千葉県,北東部,120020,銚子(AMeDAS),100.0,39.3,46.4,8.0,9.3,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,千葉県,北東部,120020,銚子(AMeDAS),100.0,34.0,39.9,7.1,8.6,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,千葉県,北東部,120020,銚子(AMeDAS),100.0,15.4,18.6,3.7,4.5,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,千葉県,北東部,120020,銚子(AMeDAS),50.0,6.8,8.2,1.6,2.0,1.0,予報,True,True,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,千葉県,北東部,120020,銚子(AMeDAS),10.0,3.2,3.9,0.8,0.9,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,千葉県,北東部,120020,銚子(AMeDAS),10.0,1.5,1.8,0.4,0.4,1.0,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,千葉県,北東部,120020,銚子(AMeDAS),10.0,0.6,0.8,0.2,0.2,0.57,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,千葉県,南部,120030,代表地点,100.0,51.4,56.6,10.6,12.2,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,千葉県,南部,120030,代表地点,100.0,23.1,27.0,5.3,6.2,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,千葉県,南部,120030,代表地点,100.0,10.3,11.9,2.5,3.0,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,千葉県,南部,120030,代表地点,30.0,4.7,5.1,1.1,1.2,1.0,予報,False,True,False
2026-09-21T21:00:00Z,09/22 06:00,6.0,千葉県,南部,120030,代表地点,10.0,2.2,2.4,0.5,0.6,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,千葉県,南部,120030,代表地点,10.0,1.0,1.1,0.2,0.3,1.0,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,千葉県,南部,120030,代表地点,10.0,0.4,0.5,0.1,0.1,0.14,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,茨城県,北部,080010,代表地点,90.0,31.0,35.2,8.6,9.5,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,茨城県,北部,080010,代表地点,90.0,51.4,54.5,9.3,10.3,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,茨城県,北部,080010,代表地点,90.0,28.1,34.9,6.9,8.4,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,茨城県,北部,080010,代表地点,50.0,11.8,14.8,2.9,3.6,1.0,予報,True,True,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,茨城県,北部,080010,代表地点,10.0,4.8,6.0,1.2,1.5,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,茨城県,北部,080010,代表地点,0.0,2.2,2.6,0.5,0.6,1.0,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,茨城県,北部,080010,代表地点,0.0,0.9,1.2,0.2,0.3,1.0,予報,False,True,False
2026-09-20T21:00:00Z,09/21 06:00,6.0,茨城県,南部,080020,水戸(AMeDAS),90.0,36.0,40.3,9.7,10.0,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,茨城県,南部,080020,水戸(AMeDAS),90.0,45.3,52.3,9.7,10.0,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,茨城県,南部,080020,水戸(AMeDAS),90.0,21.5,27.3,5.3,6.7,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,茨城県,南部,080020,水戸(AMeDAS),50.0,8.9,11.4,2.2,2.8,1.0,予報,True,True,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,茨城県,南部,080020,水戸(AMeDAS),10.0,3.8,4.7,0.9,1.2,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,茨城県,南部,080020,水戸(AMeDAS),0.0,1.7,2.1,0.4,0.5,1.0,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,茨城県,南部,080020,水戸(AMeDAS),0.0,0.7,0.9,0.2,0.2,0.71,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,岩手県,内陸,030010,代表地点,50.0,5.3,6.3,1.6,1.9,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,岩手県,内陸,030010,代表地点,80.0,9.6,11.5,2.0,2.5,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,岩手県,内陸,030010,代表地点,80.0,14.8,18.9,3.1,4.0,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,岩手県,内陸,030010,代表地点,60.0,17.8,22.5,3.1,4.0,1.0,予報,True,True,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,岩手県,内陸,030010,代表地点,20.0,12.1,14.3,2.7,3.3,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,岩手県,内陸,030010,代表地点,0.0,5.6,6.6,1.4,1.6,1.0,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,岩手県,内陸,030010,代表地点,0.0,2.4,2.7,0.6,0.7,1.0,予報,False,True,False
2026-09-20T21:00:00Z,09/21 06:00,6.0,岩手県,沿岸北部,030020,宮古(AMeDAS),50.0,4.8,6.1,1.5,1.8,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,岩手県,沿岸北部,030020,宮古(AMeDAS),80.0,9.5,11.8,2.1,2.6,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,岩手県,沿岸北部,030020,宮古(AMeDAS),80.0,17.2,20.5,3.9,4.7,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,岩手県,沿岸北部,030020,宮古(AMeDAS),60.0,24.0,29.0,4.2,5.1,1.0,予報,True,True,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,岩手県,沿岸北部,030020,宮古(AMeDAS),20.0,17.1,19.0,3.8,4.3,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,岩手県,沿岸北部,030020,宮古(AMeDAS),0.0,7.9,9.1,2.0,2.2,1.0,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,岩手県,沿岸北部,030020,宮古(AMeDAS),0.0,3.1,3.6,0.8,0.9,1.0,予報,False,True,False
2026-09-20T21:00:00Z,09/21 06:00,6.0,岩手県,沿岸南部,030030,代表地点,60.0,7.1,8.5,2.1,2.5,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,岩手県,沿岸南部,030030,代表地点,80.0,14.1,16.5,3.1,3.6,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,岩手県,沿岸南部,030030,代表地点,80.0,24.4,28.5,5.1,6.1,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,岩手県,沿岸南部,030030,代表地点,50.0,27.2,30.8,5.1,6.1,1.0,予報,True,True,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,岩手県,沿岸南部,030030,代表地点,10.0,15.2,17.5,3.6,4.0,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,岩手県,沿岸南部,030030,代表地点,0.0,6.4,7.7,1.7,2.0,1.0,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,岩手県,沿岸南部,030030,代表地点,0.0,2.6,3.0,0.6,0.8,1.0,予報,False,True,False
2026-09-20T21:00:00Z,09/21 06:00,6.0,神奈川県,東部,140010,横浜(AMeDAS),100.0,55.7,56.7,10.0,11.8,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,神奈川県,東部,140010,横浜(AMeDAS),100.0,28.8,30.8,6.6,7.1,1.0,予報,True,True,True
