site,area,lat,lon,total_mm,first_24h_from_issue_mm,peak_mm_h,peak_stamp_jst,peak_lead_h,hours_ge_1mm,hours_ge_10mm,rain_start_lead_h,rain_end_lead_h,official_window_jst,official_24h_mm,model_official_window_mm,official_peak_mm_h,model_official_window_peak_mm_h,anchor_scale,anchor_src,anchored_total_mm,anchored_first_24h_mm,anchored_peak_mm_h,anchored_official_window_mm
三宅島,130020,34.123,139.52,42.2,42.0,6.1,09/21 09:00,1.0,12.0,0.0,0.0,61.0,09/21 06:00〜09/22 06:00,300.0,50.7,80.0,6.4,4.954,公式「多い所で」,209.2,208.0,30.0,251.1
仙台,040010,38.262,140.897,32.3,31.7,2.6,09/21 08:00,0.0,16.0,0.0,0.0,56.0,09/21 06:00〜09/22 06:00,120.0,34.8,30.0,2.6,2.842,公式「多い所で」,91.9,90.2,7.4,98.8
八丈島,130030,33.122,139.778,32.1,31.8,4.2,09/21 09:00,1.0,11.0,0.0,0.0,62.0,09/21 06:00〜09/22 06:00,300.0,37.6,80.0,4.2,7.162,公式「多い所で」,229.9,228.1,30.0,269.1
千葉,120010,35.602,140.103,59.6,59.3,9.4,09/21 08:00,0.0,14.0,0.0,0.0,59.0,09/21 06:00〜09/22 06:00,300.0,72.5,70.0,9.4,3.829,公式「多い所で」,228.3,227.0,36.1,277.5
大島,130020,34.748,139.362,52.0,51.7,7.3,09/21 08:00,0.0,13.0,0.0,0.0,60.0,09/21 06:00〜09/22 06:00,300.0,64.0,80.0,9.0,4.954,公式「多い所で」,257.7,256.3,36.1,316.8
大阪,270000,34.682,135.518,5.9,5.8,1.0,09/21 08:00,0.0,0.0,0.0,,,,,,,,3.257,他地域の中央値,19.1,19.0,3.2,
宮古,030020,39.647,141.965,22.3,21.4,1.3,09/21 21:00,13.0,12.0,0.0,0.0,55.0,09/21 06:00〜09/22 06:00,80.0,22.4,30.0,1.3,3.013,公式「多い所で」,67.2,64.5,3.8,67.5
東京,130010,35.692,139.75,55.1,54.7,8.8,09/21 08:00,0.0,14.0,0.0,0.0,59.0,09/21 06:00〜09/22 06:00,250.0,67.3,70.0,8.8,3.378,公式「多い所で」,186.0,184.9,29.9,227.2
横浜,140010,35.438,139.652,57.7,57.4,9.1,09/21 08:00,0.0,14.0,0.0,0.0,59.0,09/21 06:00〜09/22 06:00,150.0,71.3,50.0,9.7,2.027,公式「多い所で」,117.0,116.4,18.4,144.4
水戸,080020,36.38,140.467,57.3,56.9,7.1,09/21 08:00,0.0,16.0,0.0,0.0,57.0,09/21 06:00〜09/22 06:00,200.0,65.8,60.0,7.1,2.708,公式「多い所で」,155.2,154.0,19.1,178.1
甲府,,35.667,138.553,38.3,38.0,6.5,09/21 08:00,0.0,11.0,0.0,0.0,62.0,,,,,,3.257,他地域の中央値,124.6,123.8,21.3,
銚子,120020,35.738,140.857,69.9,69.5,8.0,09/21 08:00,0.0,16.0,0.0,0.0,57.0,09/21 06:00〜09/22 06:00,300.0,80.2,70.0,8.0,3.517,公式「多い所で」,245.9,244.3,28.3,281.9
静岡,220010,34.975,138.403,33.3,33.1,5.5,09/21 08:00,0.0,10.0,0.0,0.0,63.0,09/21 06:00〜09/22 06:00,150.0,41.9,50.0,6.3,2.784,公式「多い所で」,92.7,92.2,15.4,116.6
高知,390010,33.567,133.548,1.7,1.6,0.2,09/21 09:00,1.0,0.0,0.0,,,,,,,,3.257,他地域の中央値,5.4,5.4,0.7,
