site,start_lead_h,start_jst,end_jst,total_mm,peak_mm_h,anchored_total_mm,anchored_peak_mm_h,wet_frac
三宅島,0.0,09/21 08:00,09/21 14:00,25.5,6.1,126.2,30.0,1.0
三宅島,6.0,09/21 14:00,09/21 20:00,9.9,2.6,49.2,12.8,1.0
三宅島,12.0,09/21 20:00,09/22 02:00,3.2,0.9,15.9,4.4,1.0
三宅島,18.0,09/22 02:00,09/22 08:00,0.9,0.3,4.3,1.4,0.71
三宅島,24.0,09/22 08:00,09/22 14:00,0.2,0.1,0.9,0.3,0.0
三宅島,30.0,09/22 14:00,09/22 20:00,0.0,0.0,0.2,0.1,0.0
三宅島,36.0,09/22 20:00,09/23 02:00,0.0,0.0,0.0,0.0,0.0
三宅島,42.0,09/23 02:00,09/23 08:00,0.0,0.0,0.0,0.0,0.0
三宅島,48.0,09/23 08:00,09/23 14:00,0.0,0.0,0.0,0.0,0.0
三宅島,54.0,09/23 14:00,09/23 20:00,0.0,0.0,0.0,0.0,0.0
三宅島,60.0,09/23 20:00,09/24 02:00,0.0,0.0,0.0,0.0,0.0
三宅島,66.0,09/24 02:00,09/24 08:00,0.0,0.0,0.0,0.0,0.0
仙台,0.0,09/21 08:00,09/21 14:00,10.4,2.6,29.4,7.4,1.0
仙台,6.0,09/21 14:00,09/21 20:00,10.7,2.4,30.5,6.7,1.0
仙台,12.0,09/21 20:00,09/22 02:00,7.2,1.6,20.6,4.7,1.0
仙台,18.0,09/22 02:00,09/22 08:00,2.2,0.7,6.2,2.0,1.0
仙台,24.0,09/22 08:00,09/22 14:00,0.4,0.1,1.2,0.4,0.29
仙台,30.0,09/22 14:00,09/22 20:00,0.1,0.0,0.2,0.1,0.0
仙台,36.0,09/22 20:00,09/23 02:00,0.0,0.0,0.0,0.0,0.0
仙台,42.0,09/23 02:00,09/23 08:00,0.0,0.0,0.0,0.0,0.0
仙台,48.0,09/23 08:00,09/23 14:00,0.0,0.0,0.0,0.0,0.0
仙台,54.0,09/23 14:00,09/23 20:00,0.0,0.0,0.0,0.0,0.0
仙台,60.0,09/23 20:00,09/24 02:00,0.0,0.0,0.0,0.0,0.0
仙台,66.0,09/24 02:00,09/24 08:00,0.0,0.0,0.0,0.0,0.0
八丈島,0.0,09/21 08:00,09/21 14:00,18.2,4.2,130.4,30.0,1.0
八丈島,6.0,09/21 14:00,09/21 20:00,8.2,2.0,58.7,14.5,1.0
八丈島,12.0,09/21 20:00,09/22 02:00,3.0,0.8,21.2,5.9,1.0
八丈島,18.0,09/22 02:00,09/22 08:00,0.8,0.3,6.0,1.8,0.71
八丈島,24.0,09/22 08:00,09/22 14:00,0.2,0.1,1.3,0.5,0.0
八丈島,30.0,09/22 14:00,09/22 20:00,0.0,0.0,0.2,0.1,0.0
八丈島,36.0,09/22 20:00,09/23 02:00,0.0,0.0,0.0,0.0,0.0
八丈島,42.0,09/23 02:00,09/23 08:00,0.0,0.0,0.0,0.0,0.0
八丈島,48.0,09/23 08:00,09/23 14:00,0.0,0.0,0.0,0.0,0.0
八丈島,54.0,09/23 14:00,09/23 20:00,0.0,0.0,0.0,0.0,0.0
八丈島,60.0,09/23 20:00,09/24 02:00,0.0,0.0,0.0,0.0,0.0
八丈島,66.0,09/24 02:00,09/24 08:00,0.0,0.0,0.0,0.0,0.0
千葉,0.0,09/21 08:00,09/21 14:00,32.4,9.4,124.0,36.2,1.0
千葉,6.0,09/21 14:00,09/21 20:00,16.1,4.0,61.6,15.2,1.0
千葉,12.0,09/21 20:00,09/22 02:00,4.9,1.5,18.8,5.7,1.0
千葉,18.0,09/22 02:00,09/22 08:00,1.2,0.4,4.7,1.5,0.86
千葉,24.0,09/22 08:00,09/22 14:00,0.2,0.1,0.9,0.3,0.0
千葉,30.0,09/22 14:00,09/22 20:00,0.0,0.0,0.2,0.1,0.0
千葉,36.0,09/22 20:00,09/23 02:00,0.0,0.0,0.0,0.0,0.0
千葉,42.0,09/23 02:00,09/23 08:00,0.0,0.0,0.0,0.0,0.0
千葉,48.0,09/23 08:00,09/23 14:00,0.0,0.0,0.0,0.0,0.0
