site,lead_h,stamp_utc,stamp_jst,rain_mm_h,anchored_mm_h
三宅島,0.0,2026-09-20T23:00:00Z,09/21 08:00,5.09,25.22
三宅島,1.0,2026-09-21T00:00:00Z,09/21 09:00,6.06,30.03
三宅島,2.0,2026-09-21T01:00:00Z,09/21 10:00,4.95,24.5
三宅島,3.0,2026-09-21T02:00:00Z,09/21 11:00,4.36,21.58
三宅島,4.0,2026-09-21T03:00:00Z,09/21 12:00,3.35,16.59
三宅島,5.0,2026-09-21T04:00:00Z,09/21 13:00,2.91,14.41
三宅島,6.0,2026-09-21T05:00:00Z,09/21 14:00,2.59,12.84
三宅島,7.0,2026-09-21T06:00:00Z,09/21 15:00,2.34,11.57
三宅島,8.0,2026-09-21T07:00:00Z,09/21 16:00,1.92,9.5
三宅島,9.0,2026-09-21T08:00:00Z,09/21 17:00,1.58,7.83
三宅島,10.0,2026-09-21T09:00:00Z,09/21 18:00,1.29,6.39
三宅島,11.0,2026-09-21T10:00:00Z,09/21 19:00,1.06,5.27
三宅島,12.0,2026-09-21T11:00:00Z,09/21 20:00,0.89,4.43
三宅島,13.0,2026-09-21T12:00:00Z,09/21 21:00,0.74,3.68
三宅島,14.0,2026-09-21T13:00:00Z,09/21 22:00,0.61,3.02
三宅島,15.0,2026-09-21T14:00:00Z,09/21 23:00,0.5,2.5
三宅島,16.0,2026-09-21T15:00:00Z,09/22 00:00,0.43,2.11
三宅島,17.0,2026-09-21T16:00:00Z,09/22 01:00,0.34,1.69
三宅島,18.0,2026-09-21T17:00:00Z,09/22 02:00,0.27,1.36
三宅島,19.0,2026-09-21T18:00:00Z,09/22 03:00,0.21,1.06
三宅島,20.0,2026-09-21T19:00:00Z,09/22 04:00,0.17,0.83
三宅島,21.0,2026-09-21T20:00:00Z,09/22 05:00,0.13,0.65
三宅島,22.0,2026-09-21T21:00:00Z,09/22 06:00,0.11,0.54
三宅島,23.0,2026-09-21T22:00:00Z,09/22 07:00,0.08,0.41
三宅島,24.0,2026-09-21T23:00:00Z,09/22 08:00,0.06,0.32
