stamp_utc,stamp_jst,issue_utc,lead_h,kind,text_lat,text_lon,track_lat,track_lon,dist_km,pres_hPa,vmax_m_s,gust_m_s,course_deg,speed_km_h,storm,gale,source
2026-09-16T12:00:00Z,09/16 21:00,2026-09-16T13:26:00Z,-1.43,analysis,16.416666666666668,149.41666666666666,16.4,149.4,2.57,998.0,18.0,25.0,22.5,15.0,―,北側950km/南側440km,全般気象解説情報（台風第２５号）|20260916132645_0_VPZJ51_010000.json
2026-09-17T18:00:00Z,09/18 03:00,2026-09-17T21:43:00Z,-3.72,analysis,24.666666666666668,146.58333333333334,24.7,146.6,4.07,980.0,30.0,40.0,315.0,40.0,半径95km,―,千葉県気象解説情報（台風第２５号）|20260917214308_0_VPFJ51_120000.json
2026-09-18T06:00:00Z,09/18 15:00,2026-09-18T07:44:00Z,-1.73,analysis,25.583333333333332,142.66666666666666,25.6,142.7,3.82,975.0,30.0,45.0,292.5,35.0,半径110km,北東側750km/南西側390km,岩手県気象解説情報（台風第２５号）|20260918074433_0_VPFJ51_030000.json
2026-09-18T18:00:00Z,09/19 03:00,2026-09-18T20:30:00Z,-2.5,analysis,26.0,140.83333333333334,26.0,140.8,3.33,975.0,30.0,45.0,292.5,15.0,半径110km,―,宮城県気象解説情報（台風第２５号）|20260918203023_0_VPFJ51_040000.json
2026-09-19T06:00:00Z,09/19 15:00,2026-09-19T07:55:00Z,-1.92,analysis,26.916666666666668,139.08333333333334,26.9,139.1,2.48,975.0,30.0,45.0,315.0,0.0,半径110km,北側750km/南側390km,宮城県気象解説情報（台風第２５号）|20260919075504_0_VPFJ51_040000.json
2026-09-19T18:00:00Z,09/20 03:00,2026-09-19T20:47:00Z,-2.78,analysis,28.5,137.83333333333334,28.5,137.8,3.26,970.0,35.0,50.0,315.0,20.0,半径110km,北東側800km/南西側440km,福島県気象解説情報（台風第２５号）|20260919204712_0_VPFJ51_070000.json
2026-09-20T06:00:00Z,09/20 15:00,2026-09-20T07:32:00Z,-1.53,analysis,29.666666666666668,137.5,29.7,137.5,3.71,970.0,35.0,50.0,0.0,10.0,半径130km,北東側700km/南西側440km,福島県気象解説情報（台風第２５号）|20260920073242_0_VPFJ51_070000.json
2026-09-20T19:00:00Z,09/21 04:00,2026-09-20T20:53:00Z,-1.88,analysis,31.666666666666668,137.91666666666666,31.7,137.9,4.03,965.0,35.0,50.0,0.0,20.0,西側185km/東側150km,北東側700km/南西側440km,福島県気象解説情報（台風第２５号）|20260920205323_0_VPFJ51_070000.json
2026-09-20T20:00:00Z,09/21 05:00,2026-09-20T21:11:00Z,-1.18,analysis,31.833333333333332,138.0,31.8,138.0,3.71,965.0,35.0,50.0,0.0,20.0,西側185km/東側150km,―,埼玉県気象解説情報（台風第２５号）|20260920211125_0_VPFJ51_110000.json
2026-09-20T23:00:00Z,09/21 08:00,2026-09-20T23:45:00Z,-0.75,analysis,32.3,138.3,32.3,138.3,0.0,965.0,35.0,50.0,22.5,20.0,半径185km,東側650km/西側440km,specifications.json
