lead_h,stamp_utc,stamp_jst,lat,lon,pres_hPa,vmax_m_s,gust_m_s,motion_deg,speed_km_h,storm_km,gale_km,storm_src,rmax_km,wind_power_b
0.0,2026-09-20T23:00:00Z,09/21 08:00,32.3,138.3,965.0,35.0,50.0,22.9,23.5,160.7,526.2,現況,73.6,0.431
3.0,2026-09-21T02:00:00Z,09/21 11:00,32.884,138.594,965.5,34.8,49.7,25.1,23.4,185.0,548.5,公式+1h,91.5,0.47
6.0,2026-09-21T05:00:00Z,09/21 14:00,33.444,138.943,966.3,34.5,49.3,28.6,23.6,220.0,652.3,公式+4h,110.6,0.47
9.0,2026-09-21T08:00:00Z,09/21 17:00,33.995,139.327,967.2,34.2,48.8,30.2,24.6,166.6,612.4,公式+7h,75.1,0.392
12.0,2026-09-21T11:00:00Z,09/21 20:00,34.565,139.736,968.4,33.8,48.2,31.5,24.9,174.5,643.3,公式+10h,81.1,0.392
15.0,2026-09-21T14:00:00Z,09/21 23:00,35.13,140.18,969.6,33.3,47.5,33.3,25.3,178.9,650.6,公式+13h,86.8,0.396
18.0,2026-09-21T17:00:00Z,09/22 02:00,35.694,140.652,971.0,32.7,46.8,34.5,25.9,186.8,681.7,公式+16h,94.3,0.395
21.0,2026-09-21T20:00:00Z,09/22 05:00,36.264,141.151,972.5,32.2,45.9,35.7,26.3,187.7,684.9,公式+19h,99.1,0.395
24.0,2026-09-21T23:00:00Z,09/22 08:00,36.833,141.676,974.0,31.5,45.1,36.8,26.6,195.7,716.4,公式+22h(延長),108.4,0.394
27.0,2026-09-22T02:00:00Z,09/22 11:00,37.402,142.227,975.6,30.9,44.2,37.7,27.0,196.5,719.2,公式+22h(延長),114.7,0.394
30.0,2026-09-22T05:00:00Z,09/22 14:00,37.973,142.8,977.2,30.2,43.2,38.6,27.4,197.2,721.8,公式+22h(延長),121.6,0.394
33.0,2026-09-22T08:00:00Z,09/22 17:00,38.544,143.397,978.7,29.6,42.2,39.4,27.7,197.9,724.2,公式+22h(延長),129.1,0.394
36.0,2026-09-22T11:00:00Z,09/22 20:00,39.115,144.015,980.3,28.9,41.3,40.1,28.0,198.4,726.4,公式+22h(延長),137.3,0.394
39.0,2026-09-22T14:00:00Z,09/22 23:00,39.686,144.654,981.8,28.2,40.3,40.7,28.3,199.0,728.3,公式+22h(延長),146.1,0.394
42.0,2026-09-22T17:00:00Z,09/23 02:00,40.258,145.313,983.2,27.6,39.4,41.3,28.5,199.5,730.1,公式+22h(延長),155.3,0.394
45.0,2026-09-22T20:00:00Z,09/23 05:00,40.829,145.991,984.4,27.0,38.6,41.9,28.7,,,公式+43h(暴風域なし),62.8,0.47
48.0,2026-09-22T23:00:00Z,09/23 08:00,41.4,146.688,985.6,26.5,37.8,42.4,28.9,,,公式+43h(暴風域なし),62.2,0.47
51.0,2026-09-23T02:00:00Z,09/23 11:00,41.97,147.402,986.6,25.9,37.1,42.8,29.1,,,公式+43h(暴風域なし),61.7,0.47
54.0,2026-09-23T05:00:00Z,09/23 14:00,42.54,148.133,987.5,25.5,36.4,43.2,29.3,,,公式+43h(暴風域なし),61.2,0.47
57.0,2026-09-23T08:00:00Z,09/23 17:00,43.109,148.881,988.4,25.1,35.8,43.6,29.5,,,公式+43h(暴風域なし),60.8,0.47
60.0,2026-09-23T11:00:00Z,09/23 20:00,43.678,149.645,989.1,24.7,35.2,44.0,29.6,,,公式+43h(暴風域なし),60.4,0.47
63.0,2026-09-23T14:00:00Z,09/23 23:00,44.246,150.425,989.8,24.3,34.7,44.3,29.7,,,公式+43h(暴風域なし),60.1,0.47
66.0,2026-09-23T17:00:00Z,09/24 02:00,44.812,151.22,990.4,24.0,34.3,44.6,29.8,,,公式+43h(暴風域なし),59.8,0.47
69.0,2026-09-23T20:00:00Z,09/24 05:00,45.378,152.03,991.0,23.7,33.9,44.9,29.9,,,公式+43h(暴風域なし),59.5,0.47
72.0,2026-09-23T23:00:00Z,09/24 08:00,45.943,152.854,991.5,23.4,33.5,45.3,29.9,,,公式+43h(暴風域なし),59.3,0.47
