lead_h,stamp_utc,stamp_jst,lat,lon,pres_hPa,vmax_m_s,gust_m_s,motion_deg,speed_km_h,src,model_lat,model_lon,cross_km,circle_km,circle_src
0.0,2026-09-20T23:00:00Z,09/21 08:00,32.3,138.3,965.0,35.0,50.0,37.9,22.0,公式,32.3,138.3,0.0,0.0,公式
3.0,2026-09-21T02:00:00Z,09/21 11:00,32.767,138.733,965.0,35.0,50.0,39.8,23.3,公式,32.884,138.594,18.4,26.2,公式
6.0,2026-09-21T05:00:00Z,09/21 14:00,33.233,139.233,965.0,35.0,50.0,43.8,30.2,公式,33.444,138.943,35.7,38.3,公式
9.0,2026-09-21T08:00:00Z,09/21 17:00,33.8,139.933,965.0,35.0,50.0,47.7,34.7,公式,33.995,139.327,60.0,43.3,公式
12.0,2026-09-21T11:00:00Z,09/21 20:00,34.4,140.8,965.0,35.0,50.0,49.5,38.4,公式,34.565,139.736,99.2,48.3,公式
15.0,2026-09-21T14:00:00Z,09/21 23:00,35.067,141.767,965.0,35.0,50.0,51.8,44.6,公式,35.13,140.18,144.5,53.3,公式
18.0,2026-09-21T17:00:00Z,09/22 02:00,35.767,142.967,965.0,35.0,50.0,54.1,49.8,公式,35.694,140.652,209.1,58.3,公式
21.0,2026-09-21T20:00:00Z,09/22 05:00,36.533,144.333,965.0,35.0,50.0,58.8,52.9,公式,36.264,141.151,286.4,63.3,公式
24.0,2026-09-21T23:00:00Z,09/22 08:00,37.162,145.933,966.8,34.0,48.6,65.0,53.9,公式,36.833,141.676,379.8,73.6,公式
27.0,2026-09-22T02:00:00Z,09/22 11:00,37.705,147.633,969.5,32.6,46.6,67.0,53.6,公式,37.402,142.227,477.7,86.4,公式
30.0,2026-09-22T05:00:00Z,09/22 14:00,38.248,149.333,972.2,31.2,44.6,66.8,53.2,公式,37.973,142.8,572.3,99.3,公式
33.0,2026-09-22T08:00:00Z,09/22 17:00,38.79,151.033,975.0,29.8,42.5,66.7,52.9,公式,38.544,143.397,663.4,112.1,公式
36.0,2026-09-22T11:00:00Z,09/22 20:00,39.333,152.733,977.7,28.3,40.5,66.5,52.6,公式,39.115,144.015,751.1,125.0,公式
39.0,2026-09-22T14:00:00Z,09/22 23:00,39.876,154.433,980.4,26.9,38.4,66.3,52.2,公式,39.686,144.654,835.5,137.9,公式
42.0,2026-09-22T17:00:00Z,09/23 02:00,40.419,156.133,983.1,25.5,36.4,61.1,35.4,公式,40.258,145.313,916.7,150.7,公式
45.0,2026-09-22T20:00:00Z,09/23 05:00,40.981,157.154,984.4,27.0,38.6,48.4,28.9,モデル延長,40.829,145.991,937.7,163.6,外挿
48.0,2026-09-22T23:00:00Z,09/23 08:00,41.552,157.86,985.6,26.5,37.8,42.8,29.2,モデル延長,41.4,146.688,930.3,176.4,外挿
51.0,2026-09-23T02:00:00Z,09/23 11:00,42.122,158.589,986.6,25.9,37.1,43.5,29.5,モデル延長,41.97,147.402,923.3,189.3,外挿
54.0,2026-09-23T05:00:00Z,09/23 14:00,42.692,159.343,987.5,25.5,36.4,44.2,29.9,モデル延長,42.54,148.133,916.8,202.1,外挿
57.0,2026-09-23T08:00:00Z,09/23 17:00,43.261,160.122,988.4,25.1,35.8,44.8,30.2,モデル延長,43.109,148.881,910.9,215.0,外挿
60.0,2026-09-23T11:00:00Z,09/23 20:00,43.83,160.926,989.1,24.7,35.2,45.4,30.5,モデル延長,43.678,149.645,905.5,227.9,外挿
63.0,2026-09-23T14:00:00Z,09/23 23:00,44.397,161.754,989.8,24.3,34.7,46.1,30.8,モデル延長,44.246,150.425,900.7,240.7,外挿
66.0,2026-09-23T17:00:00Z,09/24 02:00,44.964,162.607,990.4,24.0,34.3,46.6,31.1,モデル延長,44.812,151.22,896.5,253.6,外挿
69.0,2026-09-23T20:00:00Z,09/24 05:00,45.53,163.485,991.0,23.7,33.9,47.2,31.4,モデル延長,45.378,152.03,893.0,266.4,外挿
72.0,2026-09-23T23:00:00Z,09/24 08:00,46.095,164.39,991.5,23.4,33.5,47.8,31.4,モデル延長,45.943,152.854,890.1,279.3,外挿
