lead_h,stamp,wspd_true,wspd_fc,wspd_pers,gex_true,gex_fc,gex_pers,pres_true,pres_fc,atmp_true,atmp_fc
0,2026-09-05 23:00,5.0,5.0,5.0,2.0,2.0,2.0,1015.6,1015.6,16.7,16.7
1,2026-09-06 00:00,7.0,5.649784090404502,5.0,1.0,1.47903835569694,2.0,1015.2,1015.0945747806262,16.8,16.690768539151946
2,2026-09-06 01:00,6.000000000000001,5.925454658796234,5.0,1.0,1.2917523364262262,2.0,1015.0,1014.897518088938,16.9,16.60691782597134
3,2026-09-06 02:00,7.0,6.2615215218773335,5.0,2.0,1.5160084597861165,2.0,1014.7,1014.8717863212631,16.8,16.484408661832596
4,2026-09-06 03:00,7.0,6.356730601993808,5.0,1.0,1.346259652969347,2.0,1014.6,1014.7928150818963,16.5,16.372369622447852
5,2026-09-06 04:00,7.0,6.17262553755913,5.0,2.0,1.3376800665743054,2.0,1014.8,1015.0453777920058,16.4,16.310318775429966
6,2026-09-06 05:00,6.000000000000001,6.149879209296923,5.0,2.0,1.2920986472700173,2.0,1015.3,1015.4337495763268,16.3,16.280854553938838
7,2026-09-06 06:00,6.000000000000001,5.845692572921568,5.0,1.0,1.2892444428227077,2.0,1015.6,1015.5830045248608,16.3,16.226203463686677
8,2026-09-06 07:00,5.0,5.6389279188919765,5.0,2.0,1.4371405747014407,2.0,1015.6,1015.4434305728915,16.2,16.193668635709447
9,2026-09-06 08:00,5.0,5.348541076490671,5.0,1.0,1.4638073891191385,2.0,1015.6,1015.4422338843033,16.1,16.141500050808197
10,2026-09-06 09:00,6.000000000000001,5.184840584672121,5.0,1.0,1.2980789518937843,2.0,1015.4,1015.3782674109771,16.1,16.147840383877426
11,2026-09-06 10:00,6.000000000000001,5.133830690745894,5.0,2.0,1.2704402143480928,2.0,1015.2,1015.1559226179126,16.1,16.101779384051195
12,2026-09-06 11:00,6.000000000000001,5.1097762703036524,5.0,1.0,1.1670892508169244,2.0,1015.1,1015.1214878862146,16.0,16.07523648334403
13,2026-09-06 12:00,5.0,5.0950674195610866,5.0,2.0,1.290862269680661,2.0,1015.1,1015.1076072026337,15.9,15.999080916919329
14,2026-09-06 13:00,5.0,4.799772083006135,5.0,1.0,1.2277157646731038,2.0,1015.1,1015.1598606262033,16.0,15.873287420848072
15,2026-09-06 14:00,5.0,4.613448579294887,5.0,1.0,1.1916111163230083,2.0,1015.3,1015.373862415166,16.0,15.763695890577342
16,2026-09-06 15:00,5.0,4.7738540891990375,5.0,1.0,1.314162600598482,2.0,1015.9,1015.9530471582536,16.0,15.701269570188291
