lead_h,stamp,pres_hPa,atmp_C,wspd_m_s,gust_excess_m_s,rh,rho30_model,v_stall_m_s,cl_trim,alpha_trim_deg,cd_trim,drag_N,power_W,thrust_avail_N,margin
0,2026-09-05 23:00,1015.6,16.7,5.0,2.0,0.9087014860853055,1.209393618868943,6.576212909596979,0.4741577784109166,2.1879510532907807,0.03341110494491644,58.04541502222414,1073.3320074474436,415.5694473227353,7.1593845468005375
3,2026-09-06 02:00,1014.8717863212631,16.484408661832596,6.2615215218773335,1.516008459786117,0.913897448077384,1.2094797721142265,6.575978688162876,0.47412400336785393,2.187526736089917,0.033409906713750714,58.047468141571606,1073.3699721809182,415.5990511307669,7.159641314883277
6,2026-09-06 05:00,1015.4337495763268,16.280854553938838,6.149879209296923,1.2920986472700173,0.9204351944047777,1.2110525858214543,6.571707135544135,0.4735082508066909,2.1797910123280744,0.03338807673293911,58.084975920402385,1074.0635377197627,416.13949827126487,7.164322471985318
9,2026-09-06 08:00,1015.4422338843033,16.141500050808197,5.348541076490671,1.4638073891191388,0.9263221821908522,1.2116657836444695,6.570044025742902,0.4732686185314433,2.176780502583322,0.03337958883315423,58.09961254371214,1074.3341871116793,416.35020409642726,7.1661442455090345
12,2026-09-06 11:00,1015.1214878862146,16.07523648334403,5.1097762703036524,1.1670892508169244,0.9267403181706982,1.2115857598615913,6.570260993915057,0.47329987735473683,2.1771732084157787,0.0333806957932468,58.097702005237316,1074.2988588760952,416.3227064821646,7.16590660409657
15,2026-09-06 14:00,1015.373862415166,15.763695890577342,4.613448579294887,1.191611116323008,0.9364760120436781,1.2132693435169357,6.5657008259174905,0.4726431065050909,2.1689221702745884,0.03335745311758889,58.13792373467037,1075.0426087412457,416.901216173515,7.170899636460482
18,2026-09-06 17:00,1016.5453543282542,15.817011286204778,4.388473021433851,1.1827168545676745,0.9330317616548264,1.2144606540075165,6.562479763399061,0.4721794729660197,2.1630975237993773,0.03334106487434022,58.16641869430056,1075.5695160294492,417.3105719320012,7.174424372337907
21,2026-09-06 20:00,1016.8945609456076,16.156065705539394,4.562387969207475,1.1433769186260259,0.9205506125436518,1.21339521660649,6.565360266439865,0.4725940762738371,2.1683062015415597,0.033355719265557554,58.14093316791295,1075.0982569095343,416.94446843600656,7.171272384498148
24,2026-09-06 23:00,1016.0780248392714,16.360569829587266,5.579073412715831,1.2314546932295887,0.914677962975904,1.2115037985205883,6.570483237664897,0.47333189730605013,2.1775754763296296,0.033381829782759054,58.0957453401956,1074.262677702848,416.2945430880049,7.165663176369936
27,2026-09-07 02:00,1015.2698223710247,16.224299435010014,6.1488030369336135,1.315923504673095,0.9199364121024488,1.2111236072744334,6.5715144471062565,0.47348048382752556,2.179442174671405,0.03338709299201208,58.08667077223851,1074.094877640804,416.163902522703,7.164533566650907
30,2026-09-07 05:00,1015.7351862198822,16.000259284974895,5.700076593475271,1.215396918991173,0.9299059069232912,1.2126505014390645,6.567375922613909,0.4728843066215086,2.171952376869925,0.0333659852764011,58.123132728335364,1074.7691046149398,416.68857088064374,7.169065935042171
33,2026-09-07 08:00,1015.6979269981822,15.86233838294896,4.718693670286016,1.3966040877806263,0.9357828836928699,1.2132037443128019,6.5658783306972,0.4726686628156211,2.169243235213823,0.033358356934606745,58.136355482214526,1075.0136098003998,416.8786751045187,7.17070534688149
36,2026-09-07 11:00,1015.330321800781,15.810414281516383,4.466290902292179,1.1095194203085024,0.9357866486089509,1.213003520196479,6.566420205852037,0.47274668374775364,2.17022341526777,0.033361116502447864,58.13156933567582,1074.9251079907328,416.80987448901783,7.170112199830432
39,2026-09-07 14:00,1015.5483037668847,15.513125036153177,3.9585081347916526,1.1353617717632085,0.9448713767397845,1.2145874909644294,6.562137101095655,0.4721301642024162,2.162478055853431,0.03333932288365802,58.169454158865506,1075.625645549305,417.3541553966913,7.174799238391737
42,2026-09-07 17:00,1016.6927449093296,15.5797363736523,3.775174079173977,1.1303431984892414,0.9405799428920896,1.2156909570774523,6.55915824376967,0.4717016180870566,2.1570942140690437,0.03332419077493183,58.19587571103991,1076.1142129516463,417.733326243613,7.178057227247255
45,2026-09-07 20:00,1017.0200981785664,15.93202171466378,3.9839356267513373,1.0944277195119478,0.92719141186934,1.2145415364822818,6.562261245371803,0.4721480281424713,2.162702481238367,0.03333995396378689,58.16835433862326,1075.6053085034248,417.33836460827456,7.174663429169177
48,2026-09-07 23:00,1016.1853730667111,16.149021929302503,5.055431811526998,1.1858467445535217,0.9205301441988,1.2125737936429215,6.567583646452745,0.47291422143014267,2.1723281977930964,0.03336704377955316,58.121299856159254,1074.735212525936,416.6622126991955,7.168838510672792
