lead_h,rmse_pres_hPa,rmse_persistence_pres_hPa,rmse_climatology_pres_hPa,skill_vs_persistence_pres_hPa,skill_vs_climatology_pres_hPa,rmse_atmp_C,rmse_persistence_atmp_C,rmse_climatology_atmp_C,skill_vs_persistence_atmp_C,skill_vs_climatology_atmp_C,rmse_dewp_C,rmse_persistence_dewp_C,rmse_climatology_dewp_C,skill_vs_persistence_dewp_C,skill_vs_climatology_dewp_C,rmse_wspd_m_s,rmse_persistence_wspd_m_s,rmse_climatology_wspd_m_s,skill_vs_persistence_wspd_m_s,skill_vs_climatology_wspd_m_s,rmse_windvec_m_s,rmse_persistence_windvec_m_s,rmse_climatology_windvec_m_s,skill_vs_persistence_windvec_m_s,skill_vs_climatology_windvec_m_s,rmse_gust_excess_m_s,rmse_persistence_gust_excess_m_s,rmse_climatology_gust_excess_m_s,skill_vs_persistence_gust_excess_m_s,skill_vs_climatology_gust_excess_m_s
0,0.0,0.0,1.455853088029475,1.0,1.0,0.0,0.0,1.0108133454123256,1.0,1.0,0.0,0.0,1.0234620444985596,1.0,1.0,0.0,0.0,2.342075584015835,1.0,1.0,0.0,0.0,2.8874905181577866,1.0,1.0,0.0,0.0,0.44415171131258235,1.0,1.0
1,0.1689023051972917,0.312916389258631,1.4926800984404724,0.4602318350999157,0.8868462804764677,0.12035989240165591,0.11902380714238066,1.024433323336769,-0.011225361474759277,0.8825107601833749,0.08558210256857904,0.08416254115301719,1.0159659480820546,-0.01686690297267668,0.9157628238130014,0.8561854969673888,0.8897565210026094,2.2117059796307865,0.037730573749986784,0.6128845764976785,1.1606999960471145,1.3411953326261234,2.6062082554988644,0.13457796354360296,0.5546403501722695,0.4863335322953904,0.6123724356957945,0.5657245425679142,0.20582066738061977,0.14033510003323402
2,0.28640375566392395,0.5279678020485609,1.5084040958246676,0.4575355645691791,0.8101279647431993,0.19767611905305202,0.21311186420907388,1.1019407208023217,0.07243024790435215,0.8206109318574557,0.20821015610969387,0.1848422751068236,1.059853978003508,-0.12642065236086042,0.8035482619012213,0.912324468129947,0.912870929175277,2.3565385398275285,0.0005986180826501597,0.6128540005983867,1.2750798271411412,1.441634982136486,2.7381801016421172,0.11553212641143873,0.5343331045403252,0.41142605590152787,0.5400617248673217,0.48238817580846965,0.2381869757524403,0.14710584435037444
3,0.36330511707232727,0.7656696415556656,1.496666958731637,0.5255066972040653,0.7572572074550151,0.28147160914873526,0.28357832545289274,1.116676899455995,0.0074290455760076535,0.7479381822209645,0.3228567760082273,0.3272358986011974,1.0418889530398554,0.01338215828913969,0.6901236210766533,1.1200682567549283,1.1902380714238083,2.3032652146979022,0.05895443638846154,0.5137041754430189,1.3986685312818214,1.7254560503566239,2.7454667896315588,0.18939196915926126,0.4905534692446516,0.56476907683026,0.6123724356957945,0.6920471291854446,0.07773595950876888,0.18391529563166287
4,0.49414862401343085,1.0315845416962337,1.451846885717741,0.5209809724359551,0.6596413651642463,0.3328355767789372,0.3181980515339466,1.1361655745740282,-0.046001303824542816,0.7070536335307254,0.3823783346902775,0.37527767497325676,1.034559203225334,-0.018921082149442325,0.6303949223029695,1.2933213132386343,1.3070322617798436,2.349436354082276,0.010490137804661681,0.4495184723810811,1.7260093708171402,2.0502899942136166,2.708430923062104,0.15816329607600377,0.36272719524788744,0.46987834156656133,0.6454972243679028,0.44712190244010364,0.2720676033476591,-0.05089537998981419
5,0.6616125245029889,1.2172373091006845,1.4827322346164045,0.45646381395276203,0.5537882639516812,0.38581306010674343,0.3593976442141307,1.1240631402990846,-0.07349913478251491,0.6567692273904753,0.3765647262732252,0.37638632635454033,1.0189564643706097,-0.0004739808706992754,0.6304408093570297,1.5070999781035281,1.3070322617798436,2.6158649595880856,-0.15307022035649176,0.4238617048714748,1.9752090541026404,2.190158348736246,3.0444811307518087,0.09814326656227146,0.35121652285791005,0.44325718094761596,0.5,0.5050070298989197,0.11348563810476808,0.12227522647291333
6,0.7114670008365703,1.4008925726121808,1.524820637880372,0.49213307662133576,0.5334093839223157,0.4611766740564608,0.4573474244670748,1.1108964096632852,-0.008372736752257914,0.5848607754558822,0.40250687668924345,0.414829282155121,1.024083670431042,0.029704762889109948,0.6069589933800759,1.494747628478646,0.978945010372561,2.6381386850458095,-0.5268964166943186,0.43340824462657435,2.000408438244858,1.9602014675159305,3.1578123854177806,-0.02051165219250639,0.36652080804977827,0.6269943829894802,0.6454972243679028,0.6614957000431386,0.028664478606459265,0.05215652505588242
7,0.8011846734103467,1.6179977338261735,1.5855787416507632,0.5048295453938996,0.4947052124473965,0.534386534586091,0.5634713834792325,1.146069857674967,0.05161725998142641,0.5337225466602871,0.4659301443357792,0.4769696007084727,1.0761635860262269,0.023144989442295594,0.567045242576695,1.6809912360313919,1.4142135623730951,2.5524231308878553,-0.18864030211295346,0.34141357062272726,2.2142601595362192,2.158968998139854,3.1069057310534087,-0.025609983952527005,0.28731015640263224,0.5302687350358615,0.6454972243679028,0.5871161690586618,0.178511208076654,0.0968248483327333
8,0.8943284873404226,1.6422799192991955,1.6920817896067626,0.4554348032690698,0.4714626131942101,0.5394562590168119,0.6086186545503408,1.1467295928791554,0.1136383103219657,0.5295697761994873,0.4798435855606681,0.48131763593978827,1.090080467680978,0.0030625314118026825,0.5598090234737618,1.7135832281260832,1.5138251770487459,2.5735204157721068,-0.13195582561704544,0.33414818952894354,2.112013409028065,2.2087358338195284,2.909766460526678,0.04379085235566771,0.27416394488037954,0.5717340286552789,0.7071067811865476,0.6113169648350452,0.19144598260549683,0.06475026615766688
9,0.9931137166706797,1.5685715369936617,1.689472548210499,0.3668674375068093,0.4121752864687902,0.4979850207249041,0.6608075867199671,1.0740626957904997,0.2463993593101148,0.5363538621380086,0.4704077409106282,0.4974937185533097,1.0578968732992753,0.05444486358832101,0.5553368643168761,1.5886394274889242,1.5411035007422442,2.444082623949495,-0.030845382366456953,0.35000584189671313,2.007459288789684,2.2608047721639517,2.809617484134296,0.11205986757174768,0.2855044147021224,0.5889923660635991,0.7359800721939872,0.6386661698812963,0.19971696474363998,0.07777741511959169
