hour,stamp,obs_pres_hPa,obs_atmp_C,obs_rh,obs_wspd_m_s,err_T_K,err_p_Pa,err_rho,err_u,err_v
0.0,2026-08-05 00:00,1011.2,16.0,0.9023839445818631,4.0,0.0,0.0,0.0,0.0,0.0
1.0,2026-08-05 01:00,1010.9,16.0,0.9023839445818631,4.0,0.0,0.0,0.0,0.0,0.0
2.0,2026-08-05 02:00,1010.8,15.9,0.9081618496369518,4.0,0.0,0.0,0.0,0.0,0.0
3.0,2026-08-05 03:00,1010.9,15.8,0.9139812562566745,4.0,0.0,0.0,0.0,0.0,0.0
4.0,2026-08-05 04:00,1011.4,15.8,0.9139812562566745,5.0,0.0,0.0,0.0,0.0,0.0
5.0,2026-08-05 05:00,1011.9,15.7,0.9139175479782663,4.0,0.0,0.0,0.0,0.0,0.0
6.0,2026-08-05 06:00,1012.3,15.7,0.9139175479782663,5.0,0.0,0.0,0.0,0.0,0.0
7.0,2026-08-05 07:00,1012.2,15.6,0.9138537700596067,4.0,0.0,0.0,0.0,0.0,0.0
8.0,2026-08-05 08:00,1012.2,15.5,0.9197232843946157,4.0,0.0,0.0,0.0,0.0,0.0
9.0,2026-08-05 09:00,1012.1,15.4,0.9196635817576888,5.0,0.0,0.0,0.0,0.0,0.0
10.0,2026-08-05 10:00,1012.0,15.5,0.9078902673517467,6.0,0.0,0.0,0.0,0.0,0.0
11.0,2026-08-05 11:00,1012.1,15.6,0.8962675939685737,6.0,0.0,0.0,0.0,0.0,0.0
12.0,2026-08-05 12:00,1012.0,15.6,0.8962675939685737,5.0,0.0,0.0,0.0,0.0,0.0
13.0,2026-08-05 13:00,1012.1,15.5,0.8961914238891036,5.0,0.0,0.0,0.0,0.0,0.0
14.0,2026-08-05 14:00,1012.3,15.4,0.9019519636075642,5.0,0.0,0.0,0.0,0.0,0.0
15.0,2026-08-05 15:00,1012.9,15.4,0.9019519636075642,4.0,0.0,0.0,0.0,0.0,0.0
16.0,2026-08-05 16:00,1013.5,15.4,0.9019519636075642,4.0,0.0,0.0,0.0,0.0,0.0
17.0,2026-08-05 17:00,1014.1,15.5,0.9078902673517467,4.0,0.0,0.0,0.0,0.0,0.0
18.0,2026-08-05 18:00,1014.2,15.5,0.9020241555358138,4.0,0.0,0.0,0.0,0.0,0.0
19.0,2026-08-05 19:00,1014.4,15.4,0.9137260049025345,5.0,0.0,0.0,0.0,0.0,0.0
20.0,2026-08-05 20:00,1014.4,15.5,0.9197232843946157,5.0,0.0,0.0,0.0,0.0,0.0
