mapping,k,hour,stamp,wspd_m_s,gust_m_s,excess_m_s,model_peak_m_s,model_mean_m_s,peak_err_m_s,mean_err_m_s
naive,1.0,0.0,2026-08-05 00:00,4.0,6.0,2.0,10.28530038726111,4.993983221416313,4.28530038726111,0.9939832214163129
naive,1.0,48.0,2026-08-07 00:00,2.0,3.0,1.0,5.2662202478534965,2.494044496703432,2.2662202478534965,0.49404449670343187
naive,1.0,94.0,2026-08-08 22:00,5.0,6.0,1.0,8.469675622981779,5.19979685477123,2.4696756229817787,0.19979685477122988
naive,1.0,140.0,2026-08-10 20:00,2.0,3.0,1.0,5.3687479935709375,2.4961433865587797,2.3687479935709375,0.49614338655877965
naive,1.0,195.0,2026-08-13 03:00,2.0,3.0,1.0,5.2662202478534965,2.494044496703432,2.2662202478534965,0.49404449670343187
naive,1.0,250.0,2026-08-15 10:00,3.0,4.0,1.0,6.5120624422289435,3.332823358704521,2.5120624422289435,0.33282335870452107
naive,1.0,299.0,2026-08-17 11:00,3.0,4.0,1.0,6.342894263004438,3.332442431854137,2.342894263004438,0.3324424318541368
naive,1.0,348.0,2026-08-19 12:00,4.0,5.0,1.0,7.416789550959818,4.249588543790673,2.416789550959818,0.24958854379067308
naive,1.0,395.0,2026-08-21 11:00,6.0,7.0,1.0,9.458656909323818,6.166495871733727,2.4586569093238175,0.16649587173372726
naive,1.0,438.0,2026-08-23 06:00,6.0,7.0,1.0,9.472511941141939,6.166608048398155,2.4725119411419385,0.1666080483981549
naive,1.0,484.0,2026-08-25 04:00,6.0,7.0,1.0,9.458656909323818,6.166495871733727,2.4586569093238175,0.16649587173372726
naive,1.0,527.0,2026-08-26 23:00,7.0,9.0,2.0,14.006267371386858,7.570933203989801,5.006267371386858,0.5709332039898012
naive,1.0,571.0,2026-08-28 19:00,6.0,8.0,2.0,13.024124884457887,6.665646717409042,5.024124884457887,0.6656467174090421
naive,1.0,614.0,2026-08-30 14:00,8.0,9.0,1.0,11.355206777487572,8.124758688431537,2.355206777487572,0.12475868843153748
naive,1.0,662.0,2026-09-01 14:00,4.0,5.0,1.0,7.312800507475089,4.249835496559666,2.312800507475089,0.2498354965596663
naive,1.0,718.0,2026-09-03 22:00,6.0,7.0,1.0,9.172970359164385,6.166586138842371,2.1729703591643847,0.16658613884237106
naive,1.0,763.0,2026-09-05 19:00,5.0,6.0,1.0,8.469675622981779,5.19979685477123,2.4696756229817787,0.19979685477122988
naive,1.0,806.0,2026-09-07 14:00,4.0,5.0,1.0,7.483635482428168,4.249669324323047,2.483635482428168,0.24966932432304656
naive,1.0,857.0,2026-09-09 17:00,4.0,5.0,1.0,7.416789550959818,4.249588543790673,2.416789550959818,0.24958854379067308
naive,1.0,910.0,2026-09-11 22:00,4.0,5.0,1.0,7.304034906777486,4.249547004694988,2.3040349067774857,0.24954700469498814
naive,1.0,955.0,2026-09-13 19:00,8.0,10.0,2.0,14.833579101919636,8.499177087581346,4.833579101919636,0.49917708758134616
naive,1.0,998.0,2026-09-15 14:00,7.0,9.0,2.0,13.858966276719471,7.570325752275644,4.858966276719471,0.570325752275644
naive,1.0,1046.0,2026-09-17 14:00,2.0,3.0,1.0,5.377831980603754,2.4972534849252384,2.3778319806037542,0.49725348492523835
