window,t_s,n_load
storm,0.0,4.132881617228802
storm,1.0,3.528799122564695
storm,2.0,1.445394624597723
storm,3.0,0.8261341768012552
storm,4.0,2.3036129612660963
storm,5.0,4.263037908435994
storm,6.0,4.6450629252450035
storm,7.0,2.787316037102214
storm,8.0,1.048004271381097
storm,9.0,1.3673129689951993
storm,10.0,3.1291680211832755
storm,11.0,3.9865840614505266
storm,12.0,2.7930104730716585
storm,13.0,2.0143373496171457
storm,14.0,3.1583547603330127
storm,15.0,3.973857635447107
storm,16.0,2.1868072821619697
storm,17.0,0.3411944753255833
storm,18.0,1.9336234760491247
storm,19.0,5.164741700378859
storm,20.0,4.9120541029393365
storm,21.0,1.6235867013779917
storm,22.0,0.3591950143915955
storm,23.0,2.427456887481948
storm,24.0,4.36002316629216
storm,25.0,3.0471458363285713
storm,26.0,1.9795576030247657
storm,27.0,3.1423449397935337
storm,28.0,4.029202494158876
storm,29.0,2.40805051092198
storm,30.0,0.7075165511635192
storm,31.0,1.7903578530367867
storm,32.0,3.6014090578331777
storm,33.0,3.67821308114263
storm,34.0,2.9783849199819064
storm,35.0,3.2920665330851815
storm,36.0,3.1458568529865625
storm,37.0,1.551726797809492
storm,38.0,0.8378913555596795
storm,39.0,2.876547556536169
storm,40.0,4.658009656804336
storm,41.0,3.3787396698506766
storm,42.0,1.3959423348422264
storm,43.0,2.2741148445130794
storm,44.0,3.89403677187368
storm,45.0,2.6050168635251416
storm,46.0,0.4594793864804301
storm,47.0,2.100551679024935
storm,48.0,5.487528306312314
storm,49.0,4.75216588500685
storm,50.0,0.9119267492179638
storm,51.0,-0.36966576544463925
storm,52.0,3.0209888302311505
storm,53.0,4.818882832564984
storm,54.0,2.721254110987021
storm,55.0,1.0817439801161328
storm,56.0,2.9644906896007845
storm,57.0,4.979179454862736
storm,58.0,2.9254249177119345
storm,59.0,0.47958558705049525
storm,60.0,1.377461127350125
storm,61.0,4.137318300396609
storm,62.0,4.5298934767385015
storm,63.0,2.6629863451205433
storm,64.0,1.5644612677033374
storm,65.0,1.9739933668136482
storm,66.0,2.4285219422201845
storm,67.0,2.648420871605222
storm,68.0,3.4607528370850327
storm,69.0,4.042947389188848
storm,70.0,3.029277282161826
storm,71.0,1.6789851282421224
storm,72.0,1.6950501432866862
storm,73.0,2.5128940447315213
storm,74.0,2.806116982248399
storm,75.0,2.8407760126313435
storm,76.0,3.6045446434500357
storm,77.0,4.010424000292314
storm,78.0,2.746507345995893
storm,79.0,0.9556885635837609
storm,80.0,1.123192714223739
storm,81.0,2.993352601407161
storm,82.0,4.339217550451463
storm,83.0,3.8480289861201387
storm,84.0,2.5467640767575688
storm,85.0,1.8912648613110379
storm,86.0,1.9726195003883542
storm,87.0,2.456153642218595
storm,88.0,2.920847440372496
storm,89.0,2.9879997565140726
storm,90.0,2.994612658423065
storm,91.0,3.417580030896867
storm,92.0,3.4768931730816197
storm,93.0,1.981809252296093
storm,94.0,0.715983716245752
storm,95.0,1.8272437305982572
storm,96.0,4.441211734835532
storm,97.0,5.075809695101048
storm,98.0,2.196546641689046
storm,99.0,0.7034251338048316
storm,100.0,2.6853890459826166
storm,101.0,4.363626999159981
storm,102.0,2.573696074964607
storm,103.0,0.7877913711021238
storm,104.0,2.603498015701356
storm,105.0,5.207609322457457
storm,106.0,3.786612591774544
storm,107.0,0.14346242025711636
storm,108.0,0.2868768157632897
storm,109.0,4.227922201464239
storm,110.0,5.624125450977843
storm,111.0,2.7059922275185997
storm,112.0,1.075305937162668
storm,113.0,2.465317160131053
storm,114.0,3.7675911093451155
storm,115.0,2.3018540827325684
storm,116.0,1.3406573166273397
storm,117.0,2.8009997383998293
storm,118.0,4.209952619720055
storm,119.0,3.443216973423493
storm,120.0,1.941265743359908
storm,121.0,2.225970824072963
storm,122.0,2.476051989468212
storm,123.0,1.8371729460755046
storm,124.0,2.270188535329583
storm,125.0,4.535933045976679
storm,126.0,4.821741133344406
storm,127.0,1.9500402169970878
storm,128.0,-0.02531403101074832
storm,129.0,1.8738233829184796
storm,130.0,4.544767590268625
storm,131.0,3.7501048674177353
storm,132.0,1.7548692444377225
storm,133.0,2.7064817187764896
storm,134.0,4.507293759286637
storm,135.0,2.9581617892695475
storm,136.0,0.12053095492295225
storm,137.0,0.5763792854469679
storm,138.0,4.406749856920049
storm,139.0,5.71247613822669
storm,140.0,2.9578576326436337
storm,141.0,0.720667784125102
storm,142.0,1.923564733399665
storm,143.0,3.5110728207843174
storm,144.0,2.7450949000222105
storm,145.0,1.8596835350828187
storm,146.0,2.86088608763395
storm,147.0,4.1937151645605635
storm,148.0,3.3185095429315052
storm,149.0,1.5963954825491355
storm,150.0,1.2064656882434455
storm,151.0,2.5205759672644312
storm,152.0,3.8455910633034893
storm,153.0,3.873403296845453
storm,154.0,3.091196929097097
storm,155.0,2.0201458046423983
storm,156.0,1.4556397583883691
storm,157.0,2.2238658357431675
storm,158.0,3.2569828050598586
storm,159.0,3.329928091097819
storm,160.0,2.782460364326682
storm,161.0,2.802690951980027
storm,162.0,3.115500892772147
storm,163.0,2.5712379537324677
storm,164.0,1.586801390585345
storm,165.0,1.8928990545112467
storm,166.0,3.5513711338927907
storm,167.0,4.156731284081999
storm,168.0,3.1536793532577265
storm,169.0,2.006428738255945
storm,170.0,1.6708312651792778
storm,171.0,1.900600921497183
storm,172.0,2.5941354934357377
storm,173.0,3.8358738218727306
storm,174.0,4.22809679013455
storm,175.0,2.85469501215343
storm,176.0,1.5688424029364594
storm,177.0,2.1257342221947306
storm,178.0,3.432693843046873
storm,179.0,2.617460522746887
storm,180.0,1.2980711367413715
storm,181.0,2.4348722001927943
storm,182.0,5.499218192438492
storm,183.0,5.081146560176264
storm,184.0,0.7212043163767088
storm,185.0,-0.23995340773720542
storm,186.0,2.7931014556486597
