eval,round,move,cost
1,0,baseline,1.000000
2,1,S_scale+,1.034538
3,1,S_scale-,0.965799
4,2,S_scale+,1.000000
5,2,S_scale-,0.941523
6,3,S_scale+,0.975616
7,3,b_scale+,0.934627
8,4,S_scale+,0.968928
9,4,b_scale+,0.929287
10,5,S_scale+,0.963939
11,5,b_scale+,0.927486
12,6,S_scale+,0.962251
13,6,b_scale-,0.932307
14,6,margin_kg+,0.942718
15,6,margin_kg-,0.912639
16,7,S_scale+,0.947419
17,7,b_scale-,0.916993
18,7,margin_kg+,0.927486
19,7,margin_kg-,0.905744
20,8,S_scale+,0.940525
21,8,b_scale-,0.909877
22,8,margin_kg+,0.920404
23,8,CL_max+,0.863602
24,9,S_scale+,0.897899
25,9,b_scale-,0.868416
26,9,margin_kg+,0.876774
27,9,CL_max+,0.829286
28,10,S_scale+,0.863275
29,10,b_scale-,0.834652
30,10,margin_kg+,0.841242
31,10,CL_max+,0.817307
32,11,S_scale+,0.851212
33,11,b_scale-,0.822888
34,11,margin_kg+,0.828856
35,11,CL_max-,0.849059
36,11,CD0+,0.855614
37,11,CD0-,0.778240
38,12,S_scale+,0.810846
39,12,b_scale-,0.783612
40,12,margin_kg+,0.788724
41,12,CL_max-,0.807123
42,12,CD0+,0.817307
43,12,CD0-,0.738224
44,13,S_scale+,0.769522
45,13,b_scale-,0.743453
46,13,margin_kg+,0.747643
47,13,CL_max-,0.764237
48,13,CD0+,0.778240
49,14,S_scale+,0.753865
50,14,b_scale-,0.740688
51,14,margin_kg+,0.742895
52,14,CL_max-,0.750610
53,14,CD0+,0.758324
54,15,S_scale+,0.746034
55,15,b_scale-,0.739420
56,15,margin_kg+,0.740550
57,15,CL_max-,0.744270
58,15,CD0+,0.748366
59,16,S_scale+,0.742127
60,16,b_scale-,0.738813
61,16,margin_kg+,0.739384
62,16,CL_max-,0.741212
63,16,CD0+,0.743304
