design,alpha_deg,CL,CD,L_D
baseline,-8,-0.33678857,0.02924762,-11.515075
baseline,-7.5,-0.29698929,0.02830303,-10.493197
baseline,-7,-0.25719000,0.02747708,-9.360166
baseline,-6.5,-0.21739071,0.02676976,-8.120758
baseline,-6,-0.17759143,0.02618107,-6.783200
baseline,-5.5,-0.13779214,0.02571102,-5.359265
baseline,-5,-0.09799286,0.02535960,-3.864133
baseline,-4.5,-0.05819357,0.02512682,-2.315994
baseline,-4,-0.01839429,0.02501267,-0.735399
baseline,-3.5,0.02140500,0.02501716,0.855613
baseline,-3,0.06120429,0.02514028,2.434511
baseline,-2.5,0.10100357,0.02538204,3.979333
baseline,-2,0.14080286,0.02574243,5.469681
baseline,-1.5,0.18060214,0.02622145,6.887572
baseline,-1,0.22040143,0.02681911,8.218073
baseline,-0.5,0.26020071,0.02753541,9.449676
baseline,0,0.30000000,0.02837034,10.574424
baseline,0.5,0.33979929,0.02932390,11.587791
baseline,1,0.37959857,0.03039610,12.488395
baseline,1.5,0.41939786,0.03158694,13.277572
baseline,2,0.45919714,0.03289641,13.958884
baseline,2.5,0.49899643,0.03432451,14.537612
baseline,3,0.53879571,0.03587125,15.020266
baseline,3.5,0.57859500,0.03753662,15.414146
baseline,4,0.61839429,0.03932063,15.726968
baseline,4.5,0.65819357,0.04122327,15.966553
baseline,5,0.69799286,0.04324455,16.140597
baseline,5.5,0.73779214,0.04538446,16.256492
baseline,6,0.77759143,0.04764301,16.321207
baseline,6.5,0.81739071,0.05002019,16.341216
baseline,7,0.85719000,0.05251601,16.322452
baseline,7.5,0.89698929,0.05513046,16.270304
baseline,8,0.93678857,0.05786354,16.189617
baseline,8.5,0.97658786,0.06071526,16.084718
baseline,9,1.01638714,0.06368562,15.959446
baseline,9.5,1.05618643,0.06677461,15.817187
baseline,10,1.09598572,0.06998223,15.660914
baseline,10.5,1.13578500,0.07330849,15.493226
baseline,11,1.17558429,0.07675338,15.316384
baseline,11.5,1.21538357,0.08031691,15.132349
baseline,12,1.25518286,0.08399907,14.942818
baseline,12.5,1.29498214,0.08779987,14.749249
baseline,13,1.33478143,0.09171930,14.552895
baseline,13.5,1.37458072,0.09575737,14.354829
baseline,14,1.40000000,0.09839851,14.227857
baseline,14.5,1.40000000,0.09839851,14.227857
baseline,15,1.40000000,0.09839851,14.227857
baseline,15.5,1.40000000,0.09839851,14.227857
baseline,16,1.40000000,0.09839851,14.227857
baseline,16.5,1.40000000,0.09839851,14.227857
baseline,17,1.40000000,0.09839851,14.227857
baseline,17.5,1.40000000,0.09839851,14.227857
baseline,18,1.40000000,0.09839851,14.227857
baseline,18.5,1.40000000,0.09839851,14.227857
baseline,19,1.40000000,0.09839851,14.227857
baseline,19.5,1.40000000,0.09839851,14.227857
baseline,20,1.40000000,0.09839851,14.227857
baseline,20.5,1.40000000,0.09839851,14.227857
baseline,21,1.40000000,0.09839851,14.227857
baseline,21.5,1.40000000,0.09839851,14.227857
baseline,22,1.40000000,0.09839851,14.227857
baseline,22.5,1.40000000,0.09839851,14.227857
baseline,23,1.40000000,0.09839851,14.227857
baseline,23.5,1.40000000,0.09839851,14.227857
baseline,24,1.40000000,0.09839851,14.227857
best,-8,-0.36648276,0.02371757,-15.451951
best,-7.5,-0.32482759,0.02292051,-14.171920
best,-7,-0.28317241,0.02221950,-12.744323
best,-6.5,-0.24151724,0.02161454,-11.173833
best,-6,-0.19986207,0.02110564,-9.469606
best,-5.5,-0.15820690,0.02069279,-7.645507
best,-5,-0.11655172,0.02037600,-5.720049
best,-4.5,-0.07489655,0.02015527,-3.715979
best,-4,-0.03324138,0.02003059,-1.659531
best,-3.5,0.00841379,0.02000196,0.420648
best,-3,0.05006897,0.02006939,2.494793
best,-2.5,0.09172414,0.02023287,4.533421
best,-2,0.13337931,0.02049241,6.508717
best,-1.5,0.17503448,0.02084801,8.395742
best,-1,0.21668966,0.02129966,10.173387
best,-0.5,0.25834483,0.02184736,11.824990
best,0,0.30000000,0.02249112,13.338597
best,0.5,0.34165517,0.02323094,14.706905
best,1,0.38331034,0.02406681,15.926931
best,1.5,0.42496552,0.02499873,16.999484
best,2,0.46662069,0.02602671,17.928532
best,2.5,0.50827586,0.02715074,18.720513
best,3,0.54993103,0.02837083,19.383675
best,3.5,0.59158621,0.02968698,19.927464
best,4,0.63324138,0.03109918,20.361997
best,4.5,0.67489655,0.03260743,20.697628
