design,V_m_s,q_Pa,CL_trim,alpha_trim_deg,CD,D_N,P_req_W,L_D,T_avail_N,thrust_margin_N,feasible
baseline,6.8609,28.832,1.269841,12.1842,0.085385,55.390,621.87,14.8719,501.98,446.59,1
baseline,7.0696,30.613,1.195960,11.2560,0.078563,54.113,626.02,15.2230,499.06,444.94,1
baseline,7.2784,32.447,1.128344,10.4065,0.072678,53.059,631.95,15.5253,496.05,442.99,1
baseline,7.4871,34.335,1.066303,9.6271,0.067579,52.207,639.64,15.7787,492.95,440.74,1
baseline,7.6959,36.276,1.009243,8.9102,0.063144,51.539,649.05,15.9833,489.76,438.22,1
baseline,7.9046,38.271,0.956643,8.2494,0.059271,51.038,660.18,16.1401,486.49,435.45,1
baseline,8.1134,40.319,0.908051,7.6390,0.055878,50.691,673.01,16.2505,483.13,432.43,1
baseline,8.3221,42.420,0.863069,7.0739,0.052895,50.486,687.52,16.3167,479.68,429.19,1
baseline,8.5308,44.575,0.821348,6.5497,0.050263,50.411,703.72,16.3410,476.14,425.73,1
baseline,8.7396,46.783,0.782581,6.0627,0.047935,50.457,721.60,16.3260,472.52,422.06,1
baseline,8.9483,49.044,0.746496,5.6093,0.045868,50.616,741.16,16.2748,468.80,418.19,1
baseline,9.1571,51.359,0.712849,5.1866,0.044029,50.880,762.41,16.1903,465.00,414.12,1
baseline,9.3658,53.728,0.681428,4.7919,0.042389,51.243,785.35,16.0756,461.12,409.87,1
baseline,9.5746,56.149,0.652039,4.4227,0.040921,51.698,810.00,15.9340,457.14,405.44,1
baseline,9.7833,58.624,0.624511,4.0768,0.039605,52.241,836.35,15.7684,453.08,400.84,1
baseline,9.9920,61.153,0.598690,3.7525,0.038423,52.867,864.42,15.5817,448.93,396.06,1
baseline,10.2008,63.734,0.574439,3.4478,0.037357,53.571,894.24,15.3769,444.69,391.12,1
baseline,10.4095,66.370,0.551631,3.1613,0.036395,54.350,925.80,15.1566,440.37,386.02,1
baseline,10.6183,69.058,0.530155,2.8915,0.035525,55.200,959.13,14.9233,435.95,380.75,1
baseline,10.8270,71.800,0.509910,2.6371,0.034737,56.117,994.25,14.6792,431.45,375.34,1
baseline,11.0358,74.595,0.490802,2.3971,0.034021,57.100,1031.16,14.4265,426.87,369.77,1
baseline,11.2445,77.444,0.472749,2.1702,0.033369,58.146,1069.91,14.1672,422.19,364.04,1
baseline,11.4533,80.346,0.455673,1.9557,0.032776,59.251,1110.49,13.9028,417.43,358.18,1
baseline,11.6620,83.301,0.439507,1.7526,0.032234,60.415,1152.94,13.6350,412.58,352.16,1
baseline,11.8707,86.310,0.424186,1.5601,0.031738,61.635,1197.27,13.3651,407.64,346.00,1
baseline,12.0795,89.372,0.409652,1.3776,0.031284,62.909,1243.51,13.0945,402.61,339.70,1
